project_id,project_name,project_name_en,list_type,category,label_likely_relevant_rows,label_needs_review_rows,label_low_relevance_rows,auto_label_likely_relevant_rows,auto_label_needs_review_rows,auto_label_low_relevance_rows,manual_reviewed_rows,manual_related_rows,manual_uncertain_rows,manual_unrelated_rows,manual_changed_rows,raw_unique_videos,raw_total_play,raw_median_play,raw_mean_play,raw_p75_play,raw_p90_play,raw_p95_play,raw_p99_play,raw_max_play,raw_videos_ge_1k,raw_videos_ge_10k,raw_videos_ge_100k,raw_videos_ge_1m,raw_zero_play_videos,raw_total_digg,raw_total_comment,raw_total_share,raw_max_digg,raw_max_comment,raw_max_share,raw_top_video_id,raw_top_video_url,raw_top_video_desc,likely_unique_videos,likely_total_play,likely_median_play,likely_mean_play,likely_p75_play,likely_p90_play,likely_p95_play,likely_p99_play,likely_max_play,likely_videos_ge_1k,likely_videos_ge_10k,likely_videos_ge_100k,likely_videos_ge_1m,likely_zero_play_videos,likely_total_digg,likely_total_comment,likely_total_share,likely_max_digg,likely_max_comment,likely_max_share,likely_top_video_id,likely_top_video_url,likely_top_video_desc,inclusive_unique_videos,inclusive_total_play,inclusive_median_play,inclusive_mean_play,inclusive_p75_play,inclusive_p90_play,inclusive_p95_play,inclusive_p99_play,inclusive_max_play,inclusive_videos_ge_1k,inclusive_videos_ge_10k,inclusive_videos_ge_100k,inclusive_videos_ge_1m,inclusive_zero_play_videos,inclusive_total_digg,inclusive_total_comment,inclusive_total_share,inclusive_max_digg,inclusive_max_comment,inclusive_max_share,inclusive_top_video_id,inclusive_top_video_url,inclusive_top_video_desc,low_unique_videos,low_total_play,low_median_play,low_mean_play,low_p75_play,low_p90_play,low_p95_play,low_p99_play,low_max_play,low_videos_ge_1k,low_videos_ge_10k,low_videos_ge_100k,low_videos_ge_1m,low_zero_play_videos,low_total_digg,low_total_comment,low_total_share,low_max_digg,low_max_comment,low_max_share,low_top_video_id,low_top_video_url,low_top_video_desc,likely_video_ratio,inclusive_video_ratio,low_relevance_video_ratio,likely_play_ratio,inclusive_play_ratio,low_relevance_play_ratio,reach_noise_risk,raw_reach_tier,raw_reach_score,likely_reach_tier,likely_reach_score,inclusive_reach_tier,inclusive_reach_score,reach_tier_changed_after_relevance_filter,raw_to_likely_tier_delta
14,京剧,Peking opera,RL,表演艺术(戏曲),491,146,104,496,149,96,19,4,2,13,12,552,577344963,82650,1045915,521950,2190000,4245000,18288000,57700000,494,396,262,93,1,43818323,479370,3761969,5700000,85700,679400,7205388003118697770,https://www.tiktok.com/@musicwang136/video/7205388003118697770,#chinese #京剧 #foryou ,364,344408249,62700,946177,352275,1800000,3570000,17385000,57700000,324,258,158,53,0,24649470,240053,1359612,5700000,85700,603900,7205388003118697770,https://www.tiktok.com/@musicwang136/video/7205388003118697770,#chinese #京剧 #foryou ,460,387967978,58500,843409,325000,1700000,3020000,13365000,57700000,406,319,196,65,1,29595263,286054,1736359,5700000,85700,603900,7205388003118697770,https://www.tiktok.com/@musicwang136/video/7205388003118697770,#chinese #京剧 #foryou ,92,189376985,475200,2058445,1525000,5380000,10400000,22589000,24500000,88,77,66,28,0,14223060,193316,2025610,2300000,65700,679400,7637255776473517319,https://www.tiktok.com/@brian.liu1/video/7637255776473517319,看看【蒲公英的作品】真正的绝活# 戏曲舞台技术技巧 # 台上一分鐘台下#網絡搬運 ,0.6594,0.8333,0.1667,0.5965,0.672,0.328,medium,high_20_40pct_reach,7.18049,top_20pct_reach,7.053785,top_20pct_reach,7.055763,True,1
15,中医针灸,Acupuncture and moxibustion of traditional Chinese medicine,RL,传统医药,381,36,112,384,36,109,8,1,2,5,5,494,711227523,62400,1439732,685400,2700000,5470000,21810000,145100000,426,330,229,101,0,40241845,287591,6029577,5400000,77600,2000000,7520493733565992206,https://www.tiktok.com/@thecupdoc/video/7520493733565992206,Wet cupping promotes tissue recovery by decompressing tight areas and drawing out trapped waste from under the skin. Studies have shown that cupping: •	Improves microcirculation and local blood flow •	Reduces inflammatio,365,245199475,31200,671779,413900,1760000,3700000,9604000,15800000,309,227,145,59,0,14546651,119219,1320098,2200000,25500,144400,7416634811328007456,https://www.tiktok.com/@geotherapy/video/7416634811328007456,His knots were so big i has to needle them out! #massage #physio #dryneedling #acupuncture #traps,387,302716261,32300,782213,403300,1840000,3900000,11450000,31000000,328,244,157,64,0,21035793,139055,3194852,5400000,25500,1800000,7480357482418687254,https://www.tiktok.com/@helpfulthought/video/7480357482418687254,,107,408511262,357700,3817862,1900000,5480000,16780000,34100000,145100000,98,86,72,37,0,19206052,148536,2834725,3900000,77600,2000000,7520493733565992206,https://www.tiktok.com/@thecupdoc/video/7520493733565992206,Wet cupping promotes tissue recovery by decompressing tight areas and drawing out trapped waste from under the skin. Studies have shown that cupping: •	Improves microcirculation and local blood flow •	Reduces inflammatio,0.7389,0.7834,0.2166,0.3448,0.4256,0.5744,high,top_20pct_reach,7.325005,top_20pct_reach,6.891369,top_20pct_reach,6.993373,False,0
16,黎族传统纺染织绣技艺,"Traditional Li textile techniques: spinning, dyeing, weaving and embroidering",USL,传统手工艺,84,138,800,84,140,798,10,3,0,7,2,971,431336490,18300,444219,137400,682500,1750000,6420000,53800000,733,545,290,76,23,22781098,204783,1314132,2400000,16000,128000,7631450622050454792,https://www.tiktok.com/@huatieutieu/video/7631450622050454792,"Dệt tằm và thêu tranh, Nghề cổ truyền dân gian #huatieutieu #viraltiktok #xuhuong #viral ",82,17747302,813,216431,17800,344070,1261280,4347000,5400000,37,23,15,5,0,438080,1875,7078,139400,760,3229,7409140339413470495,https://www.tiktok.com/@littleturtlelisa/video/7409140339413470495,Li Brocade Show#hainan #littleturtlelisa #tourofhainan #cycling #cycle ,201,39865029,9145,198333,78600,471200,990100,3300000,5400000,137,97,46,10,0,1381953,30770,60295,268300,5058,16000,7409140339413470495,https://www.tiktok.com/@littleturtlelisa/video/7409140339413470495,Li Brocade Show#hainan #littleturtlelisa #tourofhainan #cycling #cycle ,770,391471461,22550,508404,153525,770460,2000000,8292000,53800000,596,448,244,66,23,21399145,174013,1253837,2400000,16000,128000,7631450622050454792,https://www.tiktok.com/@huatieutieu/video/7631450622050454792,"Dệt tằm và thêu tranh, Nghề cổ truyền dân gian #huatieutieu #viraltiktok #xuhuong #viral ",0.0844,0.207,0.793,0.0411,0.0924,0.9076,high,middle_40_70pct_reach,6.999795,middle_40_70pct_reach,6.139371,middle_40_70pct_reach,6.272384,False,0
17,中国木拱桥传统营造技艺,Traditional design and practices for building Chinese wooden arch bridges,USL,传统手工艺/建筑,190,26,448,193,27,444,10,0,1,9,6,655,159734941,4529,243870,58350,424640,949690,3784000,26300000,445,268,132,31,27,11817946,93781,494398,2500000,8670,35100,7642174414309575957,https://www.tiktok.com/@indra.dahal24/video/7642174414309575957,"mini  bridge construction using by mini bricks,cement and wood##miniature #smallcreator #highbridge #construction",188,4076393,1648,21683,8764,58800,142910,312463,395600,107,45,14,0,2,159529,5812,16289,21600,759,2921,7595561107331370270,https://www.tiktok.com/@lminghei4/video/7595561107331370270,情，始于廊桥，终于廊桥。爱，融于灵魂，镌刻一生。#此情永不移 #nothingsgonnachangemylove #小提琴 #音乐 #好的音乐总能触动人的心灵 ,212,10572753,1666,49871,9744,60600,141830,361939,6200000,120,53,16,1,7,332986,6675,22369,165000,759,5340,7560011907990572301,https://www.tiktok.com/@keekee4352/video/7560011907990572301,The strongest wooden bridge structure,443,149162188,9046,336709,118900,685140,1400000,4290000,26300000,325,215,116,30,20,11484960,87106,472029,2500000,8670,35100,7642174414309575957,https://www.tiktok.com/@indra.dahal24/video/7642174414309575957,"mini  bridge construction using by mini bricks,cement and wood##miniature #smallcreator #highbridge #construction",0.287,0.3237,0.6763,0.0255,0.0662,0.9338,high,bottom_10pct_reach,6.65972,lower_70_90pct_reach,5.35493,lower_70_90pct_reach,5.743109,True,1
18,羌年,Qiang New Year festival,USL,节庆民俗,104,128,427,104,130,425,3,0,0,3,2,645,790005118,83700,1224814,554000,2400000,4380000,26692000,48600000,532,454,307,122,2,64674270,617919,5616398,6000000,50100,663800,7566468066406567181,https://www.tiktok.com/@poopthien/video/7566468066406567181,#asian #viet #08 #baby #babyfever part 146,104,38667397,19900,371802,125425,831350,1585000,6743000,8600000,72,58,28,10,0,1914750,22462,252031,661200,5888,126600,7595297313250135304,https://www.tiktok.com/@qiangchinatravel/video/7595297313250135304,Nhà của Dai Dai đón khách nhiều tới nỗi bố mẹ không muốn ra khỏi phòng nữa vì quá mệt . ăn tết có 2 ngày giờ thành 4 ngày còn chưa hết người #qiangchina #chinatravel #tourchina #daidaitrungquoc #呆呆 ,228,163136309,45000,715510,307300,1500000,2765000,8114000,35700000,179,154,84,29,0,9454878,129648,713611,2900000,46300,169100,7064084394142715163,https://www.tiktok.com/@winmg868/video/7064084394142715163,#去年的烦恼和姑娘#今年的姑娘更漂亮 #热门助手 #tiktok #啊～啊～啊～～,417,626868809,117900,1503283,819500,2600000,4720000,27252000,48600000,353,300,223,93,2,55219392,488271,4902787,6000000,50100,663800,7566468066406567181,https://www.tiktok.com/@poopthien/video/7566468066406567181,#asian #viet #08 #baby #babyfever part 146,0.1612,0.3535,0.6465,0.0489,0.2065,0.7935,high,high_20_40pct_reach,7.224869,middle_40_70pct_reach,6.358721,high_20_40pct_reach,6.832462,True,-1
19,侗族大歌,Grand song of the Dong ethnic group,RL,表演艺术(音乐),63,48,467,66,50,462,10,0,0,10,5,572,303528771,11100,530645,162275,665820,1690000,5287000,97600000,422,290,170,44,2,26342233,273706,4038661,8800000,93900,2800000,7545888844516822294,https://www.tiktok.com/@germangents/video/7545888844516822294,Dame Un Grrr😏💅 #dameungrrr #suits #cringe #acappella #germangents,59,148748,474,2521,1006,6768,15990,26476,31000,15,4,0,0,2,6557,262,272,1800,52,121,7032437244807875846,https://www.tiktok.com/@unknowncultures/video/7032437244807875846,竹竿舞 #苗族 #瑶族 #黎族 #佤族 #侗族 #竹竿舞 #贵州 #少数民族 #民族服饰 #中国 #miaozu #hmong #yaozu #mienh #lizu #wazu #dongzu #china #bamboodance #dongpeople #wapeople #hmongb,107,4169223,847,38965,18350,102620,237130,524800,591600,48,31,12,0,2,184960,6485,16909,36200,1177,3674,7526215089368599826,https://www.tiktok.com/@lil.ice822/video/7526215089368599826,#新说唱2025 #TherapofChina2025 两大冠军候选人合作舞台  全场最佳#中文说唱 #hiphop #说唱歌手 ,465,299359548,21300,643784,212500,914360,2300000,5968000,97600000,374,259,158,44,0,26157273,267221,4021752,8800000,93900,2800000,7545888844516822294,https://www.tiktok.com/@germangents/video/7545888844516822294,Dame Un Grrr😏💅 #dameungrrr #suits #cringe #acappella #germangents,0.1031,0.1871,0.8129,0.0005,0.0137,0.9863,high,lower_70_90pct_reach,6.96972,bottom_10pct_reach,4.179991,bottom_10pct_reach,5.464065,True,-1
20,西安鼓乐,Xi'an wind and percussion ensemble,RL,表演艺术(音乐),55,78,601,58,80,596,10,0,0,10,5,725,1235847410,45300,1704617,829400,4360000,8480000,27436000,67200000,568,457,319,167,10,124707691,887475,6742101,4900000,48400,317900,7397040267813080336,https://www.tiktok.com/@thedrumpath/video/7397040267813080336,Beggin’ - Måneskin #tiktok #tiktokviral #viral #tiktokviralvideo #viraltiktok #drums #drummer #drumcover #music #songs ,52,10852555,27050,208703,76275,422190,1290000,2535000,3300000,41,33,11,4,0,365057,3647,18172,110600,792,4659,7343513140216237313,https://www.tiktok.com/@joejun0/video/7343513140216237313,"🇲🇾 2024 新山福州十邑会馆舞龍队 鼓乐篇 可爱的是那个女孩 打一下拔头发飞一下🤣🤣🤣凉爽 哈哈哈 其实有一幕小姐姐笑起来真好看😍 Drum music The cute thing is that girl. Hit it and pull out her hair and it will fly🤣🤣🤣It’s cool, hahaha In fact, there is a scene where the young lady ",129,20293121,22100,157311,118400,432500,698380,1688000,3300000,95,71,34,5,0,1100230,13161,82412,223000,2442,20000,7343513140216237313,https://www.tiktok.com/@joejun0/video/7343513140216237313,"🇲🇾 2024 新山福州十邑会馆舞龍队 鼓乐篇 可爱的是那个女孩 打一下拔头发飞一下🤣🤣🤣凉爽 哈哈哈 其实有一幕小姐姐笑起来真好看😍 Drum music The cute thing is that girl. Hit it and pull out her hair and it will fly🤣🤣🤣It’s cool, hahaha In fact, there is a scene where the young lady ",596,1215554289,67850,2039521,1300000,5400000,10725000,28330000,67200000,473,386,285,162,10,123607461,874314,6659689,4900000,48400,317900,7397040267813080336,https://www.tiktok.com/@thedrumpath/video/7397040267813080336,Beggin’ - Måneskin #tiktok #tiktokviral #viral #tiktokviralvideo #viraltiktok #drums #drummer #drumcover #music #songs ,0.0717,0.1779,0.8221,0.0088,0.0164,0.9836,high,top_20pct_reach,7.423115,middle_40_70pct_reach,6.012764,lower_70_90pct_reach,6.061114,True,-2
21,中国蚕桑丝织技艺,Sericulture and silk craftsmanship of China,RL,传统手工艺,185,197,748,187,197,746,4,0,0,4,2,1045,799875619,9472,765431,126300,840240,2860000,15668000,57100000,736,516,279,90,0,40629666,217719,1700955,3700000,17700,253500,7629739373419957524,https://www.tiktok.com/@art_dailydose/video/7629739373419957524,"Wei Silk Art – Wei Weaving is a Chinese artist who creates intricate sculptures using only wire. In this piece, she shapes and twists fine strands into a detailed tree, building the trunk, branches and flow entirely by h",175,48894741,815,279399,8289,97660,336670,5658000,29300000,72,43,18,3,0,2790942,17855,114366,2200000,13500,85300,7285420837681892639,https://www.tiktok.com/@peter.pan810/video/7285420837681892639,"5000 years ago, the Chinese learned to make quilts from the silk of the silkworm, which are breathable, light, and cozy.#culture #handcraft #handwork #fyp #foryou #ancient #china #chineseculture ",348,205437061,1652,590336,32500,336150,1495000,10996000,57100000,188,122,59,20,0,10022825,49228,349757,2200000,13500,85300,7629739373419957524,https://www.tiktok.com/@art_dailydose/video/7629739373419957524,"Wei Silk Art – Wei Weaving is a Chinese artist who creates intricate sculptures using only wire. In this piece, she shapes and twists fine strands into a detailed tree, building the trunk, branches and flow entirely by h",698,595738558,17650,853494,188400,1000000,3215000,15821000,56600000,549,395,221,71,0,30754841,168634,1351281,3700000,17700,253500,7446553422301629742,https://www.tiktok.com/@lovemysilk/video/7446553422301629742,Swap your milk for Silk Almondmilk® and #FeelPlantyGood,0.1675,0.333,0.6679,0.0611,0.2568,0.7448,high,high_20_40pct_reach,7.171829,middle_40_70pct_reach,6.247013,high_20_40pct_reach,6.799704,True,-1
22,南音,Nanyin,RL,表演艺术(音乐),140,61,604,143,63,599,10,0,0,10,5,773,375385895,23700,485622,166000,899020,2100000,9980000,19300000,617,450,242,68,0,19912134,208983,1101119,1800000,12900,169200,7152877072203975962,https://www.tiktok.com/@fujian1060/video/7152877072203975962,#fujian #meyden #masukberandafyp #fypシ ,129,14314705,5699,110967,62200,448160,698400,1124848,1200000,96,56,24,2,0,721739,17622,36877,96200,9282,10400,7232797979835370794,https://www.tiktok.com/@nanf_music/video/7232797979835370794,#music #fyp #我要上推薦 #音樂 #粉丝 ,187,16145818,5020,86341,56900,220360,672120,969176,1200000,137,80,30,2,0,782194,19150,52259,96200,9282,10800,7232797979835370794,https://www.tiktok.com/@nanf_music/video/7232797979835370794,#music #fyp #我要上推薦 #音樂 #粉丝 ,586,359240077,34750,613038,240900,1250000,3000000,11065000,19300000,480,370,212,66,0,19129940,189833,1048860,1800000,12900,169200,7152877072203975962,https://www.tiktok.com/@fujian1060/video/7152877072203975962,#fujian #meyden #masukberandafyp #fypシ ,0.1669,0.2419,0.7581,0.0381,0.043,0.957,high,lower_70_90pct_reach,6.909516,lower_70_90pct_reach,5.905591,lower_70_90pct_reach,5.9274,False,0
23,南京云锦织造技艺,Craftsmanship of Nanjing Yunjin brocade,RL,传统手工艺,216,89,343,216,89,343,0,0,0,0,0,630,463757624,32200,736123,272625,975520,2855000,10600000,106000000,492,382,225,63,0,50010278,325761,2020174,10400000,81600,479100,7227057440968183042,https://www.tiktok.com/@destinationexplore/video/7227057440968183042,"Wow, so beautiful.❤️✨   📍Nanjing| Nanjing Zhongshan  #naturesms",207,101751989,77100,491556,357950,1100000,2220000,5676000,13000000,173,138,98,26,0,16390314,96237,808178,1400000,26500,97800,7632561832489733384,https://www.tiktok.com/@le_sserafim/video/7632561832489733384,𝒯𝒾𝓂ℯ 𝓉ℴ 𝒸ℯ𝓁ℯ𝒷𝓇𝒶𝓉ℯ #HUHYUNJIN ✮  #CELEBRATION ,290,123755870,38750,426744,308900,950660,1700000,5810000,13000000,234,185,118,28,0,17666521,110605,862321,1400000,26500,97800,7632561832489733384,https://www.tiktok.com/@le_sserafim/video/7632561832489733384,𝒯𝒾𝓂ℯ 𝓉ℴ 𝒸ℯ𝓁ℯ𝒷𝓇𝒶𝓉ℯ #HUHYUNJIN ✮  #CELEBRATION ,340,340001754,23300,1000005,203275,1010000,3110000,12766000,106000000,258,197,107,35,0,32343757,215156,1157853,10400000,81600,479100,7227057440968183042,https://www.tiktok.com/@destinationexplore/video/7227057440968183042,"Wow, so beautiful.❤️✨   📍Nanjing| Nanjing Zhongshan  #naturesms",0.3286,0.4603,0.5397,0.2194,0.2669,0.7331,high,middle_40_70pct_reach,7.133136,high_20_40pct_reach,6.646216,middle_40_70pct_reach,6.643399,True,1
24,宣纸传统制作技艺,Traditional handicrafts of making Xuan paper,RL,传统手工艺,258,159,291,259,161,288,10,3,1,6,9,695,1061958793,88900,1527998,828500,3860000,8110000,26084000,53000000,597,475,340,158,0,78501331,405554,2321956,5100000,24600,99200,7130057943722003758,https://www.tiktok.com/@meet_east/video/7130057943722003758,Ancient papermaking #handwork,251,273472611,44800,1089532,721850,2500000,5250000,11700000,38000000,202,159,110,53,0,17611910,82392,1014586,2900000,13400,99200,7321072687260962091,https://www.tiktok.com/@trendygabriel/video/7321072687260962091,Replying to @ムズキフ he knows how to make that paper💰 #wow #howitsmade ,406,627644895,62000,1545923,1000000,4700000,7825000,19435000,38000000,347,275,193,104,0,53371570,225824,1408666,5100000,19100,99200,7321072687260962091,https://www.tiktok.com/@trendygabriel/video/7321072687260962091,Replying to @ムズキフ he knows how to make that paper💰 #wow #howitsmade ,290,440013898,105350,1517289,637450,3020000,8150000,26242000,53000000,251,201,148,55,0,25170761,180218,914093,4500000,24600,78100,7130057943722003758,https://www.tiktok.com/@meet_east/video/7130057943722003758,Ancient papermaking #handwork,0.3612,0.5842,0.4173,0.2575,0.591,0.4143,medium,top_20pct_reach,7.375426,top_20pct_reach,7.025465,top_20pct_reach,7.236656,False,0
25,粤剧,Yueju opera,RL,表演艺术(戏曲),160,119,291,159,120,291,7,1,1,5,4,457,295526017,27000,646665,237100,1100000,2800000,9280000,57700000,366,274,156,53,0,24242385,236165,1835259,5700000,85700,603900,7205388003118697770,https://www.tiktok.com/@musicwang136/video/7205388003118697770,#chinese #京剧 #foryou ,114,40755989,2348,357509,32150,155790,811800,4706000,27700000,67,39,15,3,0,2369791,22180,84666,1600000,14300,19000,7159021562836913454,https://www.tiktok.com/@maisieding6688/video/7159021562836913454,Emergency change makeup #fy #fyp #foryou #foryoupage #opera #pekingopera #china #chineseculture ,209,151834224,8779,726480,129400,907480,2360000,6580000,57700000,149,102,57,18,0,13086190,156406,1228666,5700000,85700,603900,7205388003118697770,https://www.tiktok.com/@musicwang136/video/7205388003118697770,#chinese #京剧 #foryou ,248,143691793,47700,579402,261375,1400000,2995000,9460000,18900000,217,172,99,35,0,11156195,79759,606593,1700000,20600,137100,7495059041585089835,https://www.tiktok.com/@selfwho0/video/7495059041585089835,Madness or heartbreak? Hu Shi’s breakdown in The Auspicious Mirror of the Universe. 🎭💔 #TheAuspiciousMirror #HuShi #ChineseOpera #PekingOpera #EmotionalBreakdown #TraditionalTheater #ClassicOpera #CulturalHeritage #Tragi,0.2495,0.4573,0.5427,0.1379,0.5138,0.4862,medium,middle_40_70pct_reach,6.993039,middle_40_70pct_reach,6.340782,high_20_40pct_reach,6.822577,False,0
26,格萨(斯)尔史诗传统,Gesar epic tradition,RL,口头传统/史诗,78,178,419,81,182,412,10,0,0,10,7,657,663013279,49100,1009153,646800,2440000,4900000,16088000,48000000,565,427,270,129,0,59230025,369754,4604630,4700000,19900,1200000,6987630425363565850,https://www.tiktok.com/@nksomin/video/6987630425363565850,Venom epic moment 😎 #fyp #Venom2018 #Marvel,76,1787008,3271,23513,12700,76850,86025,252800,496400,61,21,2,0,0,68412,5661,26558,8780,1335,3769,7558969095731825951,https://www.tiktok.com/@tehocana3333/video/7558969095731825951,Replying to @yiyi_.gym Busca el video de donde viene este comentario #nesara #gesara #soberano #libre #revelaciones369 ,250,355405658,91500,1421623,1600000,3620000,6775000,16102000,19100000,211,154,124,90,0,36536067,212148,2363220,2400000,15100,513500,7247292681611660546,https://www.tiktok.com/@minzzshopp/video/7247292681611660546,sakpele | #epicmoment #film #tiktok #bestclip #tiktokmovieclip #movie #request #movie #fyp #dragonball #fyyyyyyyyyyyyyyyy ,407,307607621,44400,755793,209600,930940,2600000,12258000,48000000,354,273,146,39,0,22693958,157606,2241410,4700000,19900,1200000,6987630425363565850,https://www.tiktok.com/@nksomin/video/6987630425363565850,Venom epic moment 😎 #fyp #Venom2018 #Marvel,0.1157,0.3805,0.6195,0.0027,0.536,0.464,high,high_20_40pct_reach,7.208647,lower_70_90pct_reach,5.102243,top_20pct_reach,7.049469,True,-2
27,龙泉青瓷传统烧制技艺,Traditional firing technology of Longquan celadon,RL,传统手工艺,295,59,318,302,60,310,16,5,1,10,12,636,392626319,9834,617337,138725,760400,2725000,15440000,46100000,469,316,172,55,0,27048350,192417,1688593,3800000,22100,381200,7569629481434975502,https://www.tiktok.com/@shanbai09/video/7569629481434975502,"龙泉青瓷 Longquan Celadon | Originated in the Five Dynasties, flourished in the Song Dynasty, crafted in Longquan (Zhejiang) with its iconic celadon glaze, a treasure of Chinese porcelain. #traditional #handmade #chinesecraf",278,112095917,3487,403223,43525,282390,896850,5069000,46100000,189,110,45,14,0,8961124,66912,474176,3800000,22100,194000,7569629481434975502,https://www.tiktok.com/@shanbai09/video/7569629481434975502,"龙泉青瓷 Longquan Celadon | Originated in the Five Dynasties, flourished in the Song Dynasty, crafted in Longquan (Zhejiang) with its iconic celadon glaze, a treasure of Chinese porcelain. #traditional #handmade #chinesecraf",330,162441068,4501,492246,58000,412230,1655000,5213000,46100000,226,139,65,21,0,11279234,79161,572213,3800000,22100,194000,7569629481434975502,https://www.tiktok.com/@shanbai09/video/7569629481434975502,"龙泉青瓷 Longquan Celadon | Originated in the Five Dynasties, flourished in the Song Dynasty, crafted in Longquan (Zhejiang) with its iconic celadon glaze, a treasure of Chinese porcelain. #traditional #handmade #chinesecraf",306,230185251,20050,752239,255325,1300000,4450000,15920000,19900000,243,177,107,34,0,15769116,113256,1116380,2200000,12500,381200,7633736301002362119,https://www.tiktok.com/@user8513083442827/video/7633736301002362119,Better broken jade than whole tile. #LongquanCeladon #china #fyp #OrientalAesthetic#giftideas ,0.4371,0.5189,0.4811,0.2855,0.4137,0.5863,high,middle_40_70pct_reach,7.016816,high_20_40pct_reach,6.599825,middle_40_70pct_reach,6.765018,True,1
28,热贡艺术,Regong arts,RL,传统手工艺/宗教艺术,237,46,436,240,48,431,10,0,0,10,5,703,373763169,16500,531669,153150,629720,1300000,5588000,119400000,534,391,208,50,0,15949305,180411,3262103,1500000,14500,1200000,7589872995724774670,https://www.tiktok.com/@rehome.life/video/7589872995724774670,"Source factory direct supply, factory craftsmanship, SPC flooring real material.#OEM#EasyInstall #factory#flooring#spc flooring",233,3997651,994,17157,9857,41040,81660,303268,455500,116,57,10,0,0,222653,6881,10640,18800,1046,1054,7473271624385662254,https://www.tiktok.com/@thangka.painting/video/7473271624385662254,"#Thangka handmade painting, #religious art, #Tibetan Thangka",272,7530713,1529,27686,19050,77440,145660,370939,520900,150,84,23,0,0,360888,10032,20890,39700,1046,1761,7620800920133176592,https://www.tiktok.com/@tianguancifu19/video/7620800920133176592,這個東西可不是一般人可以玩的哦！道教法器_#Taoism #China #道教 #道教手印 #中国文化 #道教符咒 #道教法器 #中国 #玄學,431,366232456,60000,849727,388700,1100000,2200000,8270000,119400000,384,307,185,50,0,15588417,170379,3241213,1500000,14500,1200000,7589872995724774670,https://www.tiktok.com/@rehome.life/video/7589872995724774670,"Source factory direct supply, factory craftsmanship, SPC flooring real material.#OEM#EasyInstall #factory#flooring#spc flooring",0.3314,0.3869,0.6131,0.0107,0.0201,0.9799,high,middle_40_70pct_reach,6.987705,lower_70_90pct_reach,5.265674,bottom_10pct_reach,5.495435,True,-1
