project_id,project_name,project_name_en,list_type,category,label_likely_relevant_rows,label_needs_review_rows,label_low_relevance_rows,raw_unique_videos,raw_total_play,raw_median_play,raw_mean_play,raw_p75_play,raw_p90_play,raw_p95_play,raw_p99_play,raw_max_play,raw_videos_ge_1k,raw_videos_ge_10k,raw_videos_ge_100k,raw_videos_ge_1m,raw_zero_play_videos,raw_total_digg,raw_total_comment,raw_total_share,raw_max_digg,raw_max_comment,raw_max_share,raw_top_video_id,raw_top_video_url,raw_top_video_desc,likely_unique_videos,likely_total_play,likely_median_play,likely_mean_play,likely_p75_play,likely_p90_play,likely_p95_play,likely_p99_play,likely_max_play,likely_videos_ge_1k,likely_videos_ge_10k,likely_videos_ge_100k,likely_videos_ge_1m,likely_zero_play_videos,likely_total_digg,likely_total_comment,likely_total_share,likely_max_digg,likely_max_comment,likely_max_share,likely_top_video_id,likely_top_video_url,likely_top_video_desc,inclusive_unique_videos,inclusive_total_play,inclusive_median_play,inclusive_mean_play,inclusive_p75_play,inclusive_p90_play,inclusive_p95_play,inclusive_p99_play,inclusive_max_play,inclusive_videos_ge_1k,inclusive_videos_ge_10k,inclusive_videos_ge_100k,inclusive_videos_ge_1m,inclusive_zero_play_videos,inclusive_total_digg,inclusive_total_comment,inclusive_total_share,inclusive_max_digg,inclusive_max_comment,inclusive_max_share,inclusive_top_video_id,inclusive_top_video_url,inclusive_top_video_desc,low_unique_videos,low_total_play,low_median_play,low_mean_play,low_p75_play,low_p90_play,low_p95_play,low_p99_play,low_max_play,low_videos_ge_1k,low_videos_ge_10k,low_videos_ge_100k,low_videos_ge_1m,low_zero_play_videos,low_total_digg,low_total_comment,low_total_share,low_max_digg,low_max_comment,low_max_share,low_top_video_id,low_top_video_url,low_top_video_desc,likely_video_ratio,inclusive_video_ratio,low_relevance_video_ratio,likely_play_ratio,inclusive_play_ratio,low_relevance_play_ratio,reach_noise_risk,raw_reach_tier,raw_reach_score,likely_reach_tier,likely_reach_score,inclusive_reach_tier,inclusive_reach_score,reach_tier_changed_after_relevance_filter,raw_to_likely_tier_delta
1,春节,"Spring Festival, social practices of the Chinese people in celebration of traditional new year",RL,节庆民俗,1032,156,343,1343,1785863950,138900,1329757,714700,2700000,6490000,21086000,71900000,1173,998,726,273,2,160690720,1303569,17899626,7700000,135700,3500000,7614151831207398670,https://www.tiktok.com/@cnn/video/7614151831207398670,"President Donald Trump hosted the 2025 MLS Cup Champions Inter Miami on Thursday, marking Lionel Messi's first visit to the White House.",900,1190216794,198700,1322463,850475,3010000,6915000,20117000,37300000,813,713,543,205,1,114703206,814930,8946024,3600000,39300,455700,7608687823369047310,https://www.tiktok.com/@mcplaygt/video/7608687823369047310,So anyone else got this much or less? 😭 #mcplaygt #fyp #skit #lunarnewyear #comedy ,1015,1275828452,175300,1256974,803500,2860000,6500000,18102000,37300000,907,786,592,222,1,120592336,868651,9560837,3600000,39300,455700,7608687823369047310,https://www.tiktok.com/@mcplaygt/video/7608687823369047310,So anyone else got this much or less? 😭 #mcplaygt #fyp #skit #lunarnewyear #comedy ,328,510035498,44900,1554986,367225,2100000,5005000,48727000,71900000,266,212,134,51,1,40098384,434918,8338789,7700000,135700,3500000,7614151831207398670,https://www.tiktok.com/@cnn/video/7614151831207398670,"President Donald Trump hosted the 2025 MLS Cup Champions Inter Miami on Thursday, marking Lionel Messi's first visit to the White House.",0.6701,0.7558,0.2442,0.6665,0.7144,0.2856,medium,top_20pct_reach,7.479932,top_20pct_reach,7.358298,top_20pct_reach,7.363194,False,0
2,中国传统制茶技艺及其相关习俗,Traditional tea processing techniques and associated social practices in China,RL,手工艺/民俗,640,282,673,1206,587708589,19550,487321,207325,986800,2300000,8380000,32800000,946,680,419,120,2,34954999,285437,3974789,2200000,26700,869000,7566599130772983054,https://www.tiktok.com/@tk25145156z/video/7566599130772983054,一老一少在泡茶，怎么样香不#传统文化 #召唤茶友 #茶文化茶生活以茶會友 ,473,143086500,7499,302508,124000,808560,1700000,3840000,14500000,351,225,123,40,0,10232518,67093,525706,973400,3465,101000,7569553905730768142,https://www.tiktok.com/@tk25145156z/video/7569553905730768142,中国茶道知多少？让南方小牛牛给你们展示下吧#召唤茶友 #传统文化 #中国功夫茶 #茶文化茶生活以茶會友 ,645,242434553,11700,375868,145400,785960,1800000,5672000,24300000,491,333,190,54,0,17711572,104824,1645843,1600000,5055,869000,7635616535716859157,https://www.tiktok.com/@china.tea86/video/7635616535716859157,注意，我要发射了！你今天喝茶了吗？#茶叶 #茶玩 #茶叶文化 #喝茶 #今天你喝茶了吗 ,564,348247136,39250,617459,313725,1340000,2900000,10422000,32800000,458,350,232,67,2,17691741,182506,2360175,2200000,26700,305400,7566599130772983054,https://www.tiktok.com/@tk25145156z/video/7566599130772983054,一老一少在泡茶，怎么样香不#传统文化 #召唤茶友 #茶文化茶生活以茶會友 ,0.3922,0.5348,0.4677,0.2435,0.4125,0.5926,high,middle_40_70pct_reach,7.061311,high_20_40pct_reach,6.676733,high_20_40pct_reach,6.829178,True,1
3,太极拳,Taijiquan,RL,传统体育/养生,427,110,79,525,346462690,50800,659929,397900,1500000,2380000,8976000,39800000,463,341,227,75,0,18789132,268638,1656600,3000000,31600,317800,7647935446462254367,https://www.tiktok.com/@yukungfu.com/video/7647935446462254367,"Kung fu shapes body, discipline shapes soul. #Training #kungfu ",377,248769168,85700,659865,516800,1500000,2420000,8924000,33400000,340,262,183,61,0,11497577,165087,878065,1200000,9825,78400,7555853013085130002,https://www.tiktok.com/@tairi46/video/7555853013085130002,姫にダンスを操られる俺たち🎽@TAICHI（筋達磨）💪👹 @中島 結音（ゆのん） ,452,276180166,53500,611018,434700,1500000,2245000,8949000,33400000,406,300,199,66,0,13233824,195399,1346881,1200000,11000,317800,7555853013085130002,https://www.tiktok.com/@tairi46/video/7555853013085130002,姫にダンスを操られる俺たち🎽@TAICHI（筋達磨）💪👹 @中島 結音（ゆのん） ,73,70282524,40400,962774,339600,1660000,3740000,14528000,39800000,57,41,28,9,0,5555308,73239,309719,3000000,31600,128900,7647935446462254367,https://www.tiktok.com/@yukungfu.com/video/7647935446462254367,"Kung fu shapes body, discipline shapes soul. #Training #kungfu ",0.7181,0.861,0.139,0.718,0.7971,0.2029,low,middle_40_70pct_reach,6.976452,high_20_40pct_reach,6.904095,high_20_40pct_reach,6.912195,True,1
4,送王船,"Ong Chun/Wangchuan/Wangkang ceremony, rituals and related practices for maintaining the sustainable connection between man and the ocean",RL,民俗仪式,148,148,600,874,324028879,16400,370742,134675,600300,1800000,6781000,20300000,640,481,248,63,93,17999849,177468,1016549,1800000,10500,104700,7617709236507675924,https://www.tiktok.com/@khat_019/video/7617709236507675924,คลิปนี้มีมวย5555🤔😂 #ฟีดดดシ #เทรนด์วันนี้  #อย่าปิดการมองเห็น  #รําวงเพชรบุรี  #มือคีย์บอดที่ชื่อสุดเขตอะ ,145,41973209,3429,289470,26400,165920,1660000,6056000,9100000,90,61,19,9,0,1484620,18818,86266,386400,4496,25900,6951247895182036225,https://www.tiktok.com/@ong_chu_nha_que/video/6951247895182036225,Chị rắn cắn chuẩn... lên bàn ngồi 😂😂😂 #ongchunhaque #fyp,289,63212122,781,218727,23100,156600,437380,6112000,9100000,137,97,36,12,92,2186368,28987,136214,409900,4496,33500,6951247895182036225,https://www.tiktok.com/@ong_chu_nha_que/video/6951247895182036225,Chị rắn cắn chuẩn... lên bàn ngồi 😂😂😂 #ongchunhaque #fyp,585,260816757,39000,445841,214600,825060,2080000,7160000,20300000,503,384,212,51,1,15813481,148481,880335,1800000,10500,104700,7617709236507675924,https://www.tiktok.com/@khat_019/video/7617709236507675924,คลิปนี้มีมวย5555🤔😂 #ฟีดดดシ #เทรนด์วันนี้  #อย่าปิดการมองเห็น  #รําวงเพชรบุรี  #มือคีย์บอดที่ชื่อสุดเขตอะ ,0.1659,0.3307,0.6693,0.1295,0.1951,0.8049,high,bottom_10pct_reach,6.869169,middle_40_70pct_reach,6.366989,lower_70_90pct_reach,6.25321,True,2
5,藏医药浴法,"Lum medicinal bathing of Sowa Rigpa, knowledge and practices concerning life, health and illness prevention and treatment among the Xizang people in China",RL,传统医药,128,45,584,746,306313629,22800,410608,164375,841400,1800000,6195000,38400000,557,417,241,66,1,21538478,248105,2217911,1700000,21600,362200,7058758162630872322,https://www.tiktok.com/@69scorpionqueen/video/7058758162630872322,#сафарова #питер,123,1356247,741,11026,3202,19660,53360,193904,282900,47,15,4,0,0,52379,928,3300,21700,164,780,7126331545304059137,https://www.tiktok.com/@cleo_abrahams/video/7126331545304059137,This ancient tibetan medicine massage helped me with my insomnia 💆‍♀️ #asmr #massage #tibetanmassage #headmassage #insomnia,167,9819945,952,58802,9981,74660,174540,1123682,3300000,82,42,15,2,0,510798,10376,49762,266100,3702,28800,7562784547335687431,https://www.tiktok.com/@zhangyao145/video/7562784547335687431,探故知. tan gu zhi.,579,296493684,46100,512079,258050,1200000,2110000,7408000,38400000,475,375,226,64,1,21027680,237729,2168149,1700000,21600,362200,7058758162630872322,https://www.tiktok.com/@69scorpionqueen/video/7058758162630872322,#сафарова #питер,0.1649,0.2239,0.7761,0.0044,0.0321,0.9679,high,lower_70_90pct_reach,6.914751,bottom_10pct_reach,4.961071,bottom_10pct_reach,5.706017,True,-1
6,二十四节气,"The Twenty-Four Solar Terms, knowledge in China of time and practices developed through observation of the sun's annual motion",RL,传统知识/民俗,203,63,617,849,348781807,16900,410815,154800,713200,2060000,5708000,38700000,634,468,247,68,1,18770913,252699,1343578,3100000,26400,164300,7629582028886789406,https://www.tiktok.com/@l0nelysoul0/video/7629582028886789406,... #real #atmosphere #apathy #nature #vibes ,191,31700849,1308,165973,27300,371700,1048500,2540000,3800000,99,58,34,10,0,964362,38919,41321,272100,23000,9107,7514831391079648543,https://www.tiktok.com/@whataboutaub/video/7514831391079648543,"Was the Chinese Calendar correct for your pregnancies? I used to think it was wrong, but then I realized I wasn’t calculating the Lunar New Year change every year. 🤦🏻‍♀️ I put everything into chat GPT with my birthday, c",247,53148595,2012,215176,68650,413140,1270000,3478000,5900000,142,95,53,14,0,1760855,57756,111334,272100,23000,36800,7624787630131105042,https://www.tiktok.com/@.memescreens/video/7624787630131105042,"This CapCut template features the viral “Hachimichi Michi Tuff Baby” meme by @luna_versex, paired with the nostalgic Chinese song The Past Can Only Be Recalled (往事只能回味) by Han Baoyi. The trend blends AI-generated baby-st",602,295633212,27000,491085,174750,812410,2200000,6792000,38700000,492,373,194,54,1,17010058,194943,1232244,3100000,26400,164300,7629582028886789406,https://www.tiktok.com/@l0nelysoul0/video/7629582028886789406,... #real #atmosphere #apathy #nature #vibes ,0.225,0.2909,0.7091,0.0909,0.1524,0.8476,high,lower_70_90pct_reach,6.956735,middle_40_70pct_reach,6.202937,lower_70_90pct_reach,6.367663,True,1
7,中国珠算,"Chinese Zhusuan, knowledge and practices of mathematical calculation through the abacus",RL,传统知识,220,45,380,618,507482849,28100,821170,299200,1530000,3415000,19511000,51000000,480,371,222,84,2,25139881,251847,1620110,1700000,25800,185500,7526849661034876165,https://www.tiktok.com/@dy991891/video/7526849661034876165,Generasi emas sesungguhnya dari sebuah bangsa🤴🏻 #sempoamental #abacus #matematika #genalpha ,218,283844719,88900,1302040,820225,2620000,5630000,21669000,51000000,182,152,105,50,0,13842388,129372,793474,1700000,25800,174000,7526849661034876165,https://www.tiktok.com/@dy991891/video/7526849661034876165,Generasi emas sesungguhnya dari sebuah bangsa🤴🏻 #sempoamental #abacus #matematika #genalpha ,253,295416582,76900,1167654,668200,2480000,4940000,20164000,51000000,208,172,116,53,0,14433390,136451,851485,1700000,25800,174000,7526849661034876165,https://www.tiktok.com/@dy991891/video/7526849661034876165,Generasi emas sesungguhnya dari sebuah bangsa🤴🏻 #sempoamental #abacus #matematika #genalpha ,365,212066267,16500,581003,159800,779360,2460000,13144000,35800000,272,199,106,31,2,10706491,115396,768625,1700000,23300,185500,7598842429793455373,https://www.tiktok.com/@linshenmekun/video/7598842429793455373,爆辣酱汁菌菇拼盘太过瘾了，配上活珠子野山椒手剥笋差点又起飞#美食 #上热门#活珠子#野山椒,0.3528,0.4094,0.5906,0.5593,0.5821,0.4179,medium,middle_40_70pct_reach,7.109929,top_20pct_reach,7.065301,high_20_40pct_reach,7.055789,True,2
8,福建木偶戏,Strategy for training coming generations of Fujian puppetry practitioners,GSP,保护实践(木偶戏),66,85,753,865,623321342,39800,720603,269900,1200000,2980000,10616000,62900000,703,552,339,97,1,47041781,323317,4819378,11000000,48500,1700000,7646044803981004050,https://www.tiktok.com/@yigerenyetinghaode/video/7646044803981004050,论戏精小猫如何出片 #街头摄影 #这个世界不能没有小猫 #领先烘焙猫粮 #领先猫粮 #领先羊奶鸡,61,1436465,746,23549,1657,25300,32800,560140,761500,20,7,2,0,0,33385,536,2935,22900,400,2223,7453770690328710446,https://www.tiktok.com/@mongthientruong/video/7453770690328710446,Nơi Ở Của Mạnh Khương Nữ Người Khóc Đổ Vạn Lý Trường Thành #SmallBusiness #TikTokBusinessCampaign #MoneySavingTips #HistoryTok  #TikTokHumanitiesCampaign #BookRecommendations #cànlongtruyện #tửcấmthành #fyp #viral #mạnhk,127,73828063,3289,581323,163100,884940,2470000,10212000,28200000,76,52,36,11,0,5517858,46050,208730,1900000,23600,91900,7496793604933946679,https://www.tiktok.com/@pizza.55555/video/7496793604933946679,冰淇淋 #披薩的辣 #川渝女生 #抖音 #情侣 ,738,549493279,50550,744571,275650,1200000,3000000,10400000,62900000,627,500,303,86,1,41523923,277267,4610648,11000000,48500,1700000,7646044803981004050,https://www.tiktok.com/@yigerenyetinghaode/video/7646044803981004050,论戏精小猫如何出片 #街头摄影 #这个世界不能没有小猫 #领先烘焙猫粮 #领先猫粮 #领先羊奶鸡,0.0705,0.1468,0.8532,0.0023,0.1184,0.8816,high,middle_40_70pct_reach,7.157003,bottom_10pct_reach,4.95966,middle_40_70pct_reach,6.638192,True,-2
9,赫哲族伊玛堪,Hezhe Yimakan storytelling,USL,口头传统/史诗,63,40,556,656,317137967,44700,483442,259250,843550,1850000,8890000,22000000,547,425,256,60,0,21659356,259376,3088447,2200000,34300,1200000,7166206744530570497,https://www.tiktok.com/@mayilong0/video/7166206744530570497,"#ftx #dogecoin #elonmusk #tesla Really want to slap you both in the face.  So many people put their trust in you, only to let them down.",62,15530401,65200,250490,237450,622600,745955,2885000,3800000,48,37,24,3,0,1439735,9008,97909,222000,1527,49100,7572567790519897364,https://www.tiktok.com/@zhezhehe/video/7572567790519897364,#xuhuong #fyp #cosplay ,101,20735989,40300,205307,170900,585300,677500,2300000,3800000,81,61,35,4,0,1564079,12166,103957,222000,1527,49100,7572567790519897364,https://www.tiktok.com/@zhezhehe/video/7572567790519897364,#xuhuong #fyp #cosplay ,555,296401978,44900,534058,279700,994320,2190000,9506000,22000000,466,364,221,56,0,20095277,247210,2984490,2200000,34300,1200000,7166206744530570497,https://www.tiktok.com/@mayilong0/video/7166206744530570497,"#ftx #dogecoin #elonmusk #tesla Really want to slap you both in the face.  So many people put their trust in you, only to let them down.",0.0945,0.154,0.846,0.049,0.0654,0.9346,high,bottom_10pct_reach,6.878425,middle_40_70pct_reach,6.028114,lower_70_90pct_reach,6.073259,True,2
10,中国皮影戏,Chinese shadow puppetry,RL,表演艺术,191,107,514,728,814114302,31650,1118289,339000,2100000,4365000,24296000,62900000,574,452,289,109,0,45821026,402537,5084294,11000000,66700,1700000,7646044803981004050,https://www.tiktok.com/@yigerenyetinghaode/video/7646044803981004050,论戏精小猫如何出片 #街头摄影 #这个世界不能没有小猫 #领先烘焙猫粮 #领先猫粮 #领先羊奶鸡,163,13264017,1083,81374,16300,83180,257620,1794000,3300000,84,45,15,3,0,390279,5539,17899,84500,1187,5280,7017719800428285185,https://www.tiktok.com/@pandatalk_/video/7017719800428285185,An art of using shadows-Chinese shadow puppetry!#china #foryou #fyp #tiktok #shadow,241,78808469,2680,327006,42700,428600,963400,4740000,28200000,147,94,44,12,0,4007171,48570,441823,1900000,23700,188400,7496793604933946679,https://www.tiktok.com/@pizza.55555/video/7496793604933946679,冰淇淋 #披薩的辣 #川渝女生 #抖音 #情侣 ,487,735305833,101700,1509868,612850,2840000,6270000,28224000,62900000,427,358,245,97,0,41813855,353967,4642471,11000000,66700,1700000,7646044803981004050,https://www.tiktok.com/@yigerenyetinghaode/video/7646044803981004050,论戏精小猫如何出片 #街头摄影 #这个世界不能没有小猫 #领先烘焙猫粮 #领先猫粮 #领先羊奶鸡,0.2239,0.331,0.669,0.0163,0.0968,0.9032,high,high_20_40pct_reach,7.248704,lower_70_90pct_reach,5.810895,middle_40_70pct_reach,6.513504,True,-2
11,麦西热甫,Meshrep,USL,表演艺术/民俗,96,36,410,542,410304017,30000,757018,217600,979570,2395000,11821000,66700000,454,345,196,53,0,36208335,398866,5831077,5900000,39400,3200000,7515401417339702550,https://www.tiktok.com/@yuji_beleza/video/7515401417339702550,Uyghur language ❤️ . #uyghur #turkish #uzbek #uzbekistan #japanese #azerban #vienna #turkic ,96,145911002,275200,1519906,1025000,2450000,3675000,10555000,66700000,93,80,67,26,0,8930612,157316,405331,2700000,32700,75900,7515401417339702550,https://www.tiktok.com/@yuji_beleza/video/7515401417339702550,Uyghur language ❤️ . #uyghur #turkish #uzbek #uzbekistan #japanese #azerban #vienna #turkic ,132,148536844,159550,1125279,769675,2090000,3090000,6670000,66700000,116,98,73,26,0,9051929,163259,416541,2700000,32700,75900,7515401417339702550,https://www.tiktok.com/@yuji_beleza/video/7515401417339702550,Uyghur language ❤️ . #uyghur #turkish #uzbek #uzbekistan #japanese #azerban #vienna #turkic ,410,261767173,19350,638457,135725,475990,1965000,12429000,49000000,338,247,123,27,0,27156406,235607,5414536,5900000,39400,3200000,7618459287039479061,https://www.tiktok.com/@xastorevietnam/video/7618459287039479061,Hachimi 🤪  #xastorevietnam_tiemdienthoai #anhdadenbaniphone ,0.1771,0.2435,0.7565,0.3556,0.362,0.638,high,middle_40_70pct_reach,7.041616,high_20_40pct_reach,6.903347,high_20_40pct_reach,6.883376,True,1
12,中国水密隔舱福船制造技艺,Watertight-bulkhead technology of Chinese junks,USL,传统手工艺,243,35,434,712,758064231,18450,1064697,228600,1300000,3300000,20451000,88500000,521,387,234,88,33,73006623,1141104,4514123,14900000,322400,1200000,7620981615036255509,https://www.tiktok.com/@jungkook/video/7620981615036255509,#BTS #JungKook #JK #V #SWIM @Kimtaehyung ,243,302908225,25700,1246536,437000,2080000,6200000,22492000,48200000,181,138,92,42,0,16499441,85687,872341,2300000,7342,158200,7555028481403309325,https://www.tiktok.com/@junkyyj/video/7555028481403309325,asmr junk journal with me! late night Taco Bell 🤝 me  most GORGEOUS GREEN RING from @Abby.rose.designs check her out y’all her jewelry is insane and so well made #junkjournal #junkjournaling #asmr #scrapbooking #scrapboo,278,310080943,26550,1115399,356450,1860000,5945000,21652000,48200000,208,159,101,43,1,16823554,89635,879112,2300000,7342,158200,7555028481403309325,https://www.tiktok.com/@junkyyj/video/7555028481403309325,asmr junk journal with me! late night Taco Bell 🤝 me  most GORGEOUS GREEN RING from @Abby.rose.designs check her out y’all her jewelry is insane and so well made #junkjournal #junkjournaling #asmr #scrapbooking #scrapboo,434,447983288,13950,1032220,166775,1070000,2200000,12344000,88500000,313,228,133,45,32,56183069,1051469,3635011,14900000,322400,1200000,7620981615036255509,https://www.tiktok.com/@jungkook/video/7620981615036255509,#BTS #JungKook #JK #V #SWIM @Kimtaehyung ,0.3413,0.3904,0.6096,0.3996,0.409,0.591,high,high_20_40pct_reach,7.215872,top_20pct_reach,7.079254,top_20pct_reach,7.080439,True,1
13,中国木活字印刷术,Wooden movable-type printing of China,USL,传统手工艺,68,102,693,824,975576060,58050,1183952,381575,1970000,4470000,17339000,90100000,713,563,345,127,0,40666737,490460,3680290,3100000,44800,656300,7632096837394058516,https://www.tiktok.com/@engineezy/video/7632096837394058516,This machine can draw any shape ••• Every mechanism I've built so far can only draw one shape. So I built one that can draw all of them using a custom app I coded with @ChatGPT to create the cam profiles. Then I pushed i,65,116544338,8520,1792990,72200,1247080,9460000,38100000,47700000,44,31,14,7,0,3986116,35801,116666,3100000,28400,74300,7404039857405742344,https://www.tiktok.com/@xiedapao88/video/7404039857405742344,中国四大发明之一：活字印刷术。一起来感受中国传统文化的魅力！One of the four great inventions of China: movable type printing. Let's feel the charm of traditional Chinese culture!#活字印刷术 #中国传统文化 #中国非物质文化遗产 #传统文化 #中国传统文化 #传统手艺 #传统手工艺 #中国非物质 #传统艺人#传统手工艺人,162,163965620,19800,1012133,170250,1490000,3780000,20561000,47700000,119,88,52,19,0,6398935,75925,459040,3100000,28400,118400,7404039857405742344,https://www.tiktok.com/@xiedapao88/video/7404039857405742344,中国四大发明之一：活字印刷术。一起来感受中国传统文化的魅力！One of the four great inventions of China: movable type printing. Let's feel the charm of traditional Chinese culture!#活字印刷术 #中国传统文化 #中国非物质文化遗产 #传统文化 #中国传统文化 #传统手艺 #传统手工艺 #中国非物质 #传统艺人#传统手工艺人,662,811610440,68000,1225998,436950,2000000,4880000,17073000,90100000,594,475,293,108,0,34267802,414535,3221250,2600000,44800,656300,7632096837394058516,https://www.tiktok.com/@engineezy/video/7632096837394058516,This machine can draw any shape ••• Every mechanism I've built so far can only draw one shape. So I built one that can draw all of them using a custom app I coded with @ChatGPT to create the cam profiles. Then I pushed i,0.0789,0.1966,0.8034,0.1195,0.1681,0.8319,high,high_20_40pct_reach,7.318702,high_20_40pct_reach,6.918147,high_20_40pct_reach,6.885417,False,0
