project_id,project_name,project_name_en,list_type,category,scale_data_state,scale_video_count_best,scale_video_count_tier,stock_band,scale_best_hashtag,scale_best_challenge_id,scale_terms_clean,scale_terms_noisy,scale_terms_unavailable_or_failed,likely_reach_tier,likely_reach_score,likely_total_play,likely_unique_videos,likely_max_play,likely_p95_play,likely_videos_ge_100k,likely_play_ratio,likely_video_ratio,reach_band,raw_reach_tier,raw_total_play,inclusive_reach_tier,inclusive_total_play,low_relevance_play_ratio,reach_noise_risk,reach_tier_changed_after_relevance_filter,raw_to_likely_tier_delta,raw_unique_videos,label_likely_relevant_rows,label_needs_review_rows,label_low_relevance_rows,likely_top_video_id,likely_top_video_url,likely_top_video_desc,raw_top_video_url,inclusive_top_video_url,quadrant,quadrant_label,review_priority,matrix_note
1,春节,"Spring Festival, social practices of the Chinese people in celebration of traditional new year",RL,节庆民俗,clean,640926,head,stock_high,chinesenewyear,322876,4,2,0,top_20pct_reach,7.358298,1190216794,900,37300000,6915000,543,0.6665,0.6701,reach_high,top_20pct_reach,1785863950,top_20pct_reach,1275828452,0.2856,medium,False,0,1343,1032,156,343,7608687823369047310,https://www.tiktok.com/@mcplaygt/video/7608687823369047310,So anyone else got this much or less? 😭 #mcplaygt #fyp #skit #lunarnewyear #comedy ,https://www.tiktok.com/@cnn/video/7614151831207398670,https://www.tiktok.com/@mcplaygt/video/7608687823369047310,stock_high__reach_high,真·规模化出海候选,P3_normal,"first-draft stock×reach matrix; stock=hashtag statsV2 videoCount, reach=likely_relevant playCount; requires targeted manual review before final tiering"
2,中国传统制茶技艺及其相关习俗,Traditional tea processing techniques and associated social practices in China,RL,手工艺/民俗,clean,16140,mid,stock_high,gongfutea,1628650745024518,2,4,0,high_20_40pct_reach,6.676733,143086500,473,14500000,1700000,123,0.2435,0.3922,reach_high,middle_40_70pct_reach,587708589,high_20_40pct_reach,242434553,0.5926,high,True,1,1206,640,282,673,7569553905730768142,https://www.tiktok.com/@tk25145156z/video/7569553905730768142,中国茶道知多少？让南方小牛牛给你们展示下吧#召唤茶友 #传统文化 #中国功夫茶 #茶文化茶生活以茶會友 ,https://www.tiktok.com/@tk25145156z/video/7566599130772983054,https://www.tiktok.com/@china.tea86/video/7635616535716859157,stock_high__reach_high,真·规模化出海候选,P2_noise_risk,"first-draft stock×reach matrix; stock=hashtag statsV2 videoCount, reach=likely_relevant playCount; requires targeted manual review before final tiering"
3,太极拳,Taijiquan,RL,传统体育/养生,clean,210873,head,stock_high,taichi,6768,4,0,0,high_20_40pct_reach,6.904095,248769168,377,33400000,2420000,183,0.718,0.7181,reach_high,middle_40_70pct_reach,346462690,high_20_40pct_reach,276180166,0.2029,low,True,1,525,427,110,79,7555853013085130002,https://www.tiktok.com/@tairi46/video/7555853013085130002,姫にダンスを操られる俺たち🎽@TAICHI（筋達磨）💪👹 @中島 結音（ゆのん） ,https://www.tiktok.com/@yukungfu.com/video/7647935446462254367,https://www.tiktok.com/@tairi46/video/7555853013085130002,stock_high__reach_high,真·规模化出海候选,P3_normal,"first-draft stock×reach matrix; stock=hashtag statsV2 videoCount, reach=likely_relevant playCount; requires targeted manual review before final tiering"
4,送王船,"Ong Chun/Wangchuan/Wangkang ceremony, rituals and related practices for maintaining the sustainable connection between man and the ocean",RL,民俗仪式,clean,1302,long_tail,stock_mid,wangkang,1638409788145666,5,1,0,middle_40_70pct_reach,6.366989,41973209,145,9100000,1660000,19,0.1295,0.1659,reach_mid,bottom_10pct_reach,324028879,lower_70_90pct_reach,63212122,0.8049,high,True,2,874,148,148,600,6951247895182036225,https://www.tiktok.com/@ong_chu_nha_que/video/6951247895182036225,Chị rắn cắn chuẩn... lên bàn ngồi 😂😂😂 #ongchunhaque #fyp,https://www.tiktok.com/@khat_019/video/7617709236507675924,https://www.tiktok.com/@ong_chu_nha_que/video/6951247895182036225,stock_low__reach_low,低存量低触达：近乎隐形候选,P0_noise_or_tier_drop,"first-draft stock×reach matrix; stock=hashtag statsV2 videoCount, reach=likely_relevant playCount; requires targeted manual review before final tiering"
5,藏医药浴法,"Lum medicinal bathing of Sowa Rigpa, knowledge and practices concerning life, health and illness prevention and treatment among the Xizang people in China",RL,传统医药,clean,256,near_invisible,stock_low,sowarigpa,1666210580169733,1,2,0,bottom_10pct_reach,4.961071,1356247,123,282900,53360,4,0.0044,0.1649,reach_low,lower_70_90pct_reach,306313629,bottom_10pct_reach,9819945,0.9679,high,True,-1,746,128,45,584,7126331545304059137,https://www.tiktok.com/@cleo_abrahams/video/7126331545304059137,This ancient tibetan medicine massage helped me with my insomnia 💆‍♀️ #asmr #massage #tibetanmassage #headmassage #insomnia,https://www.tiktok.com/@69scorpionqueen/video/7058758162630872322,https://www.tiktok.com/@zhangyao145/video/7562784547335687431,stock_low__reach_low,低存量低触达：近乎隐形候选,P0_noise_or_tier_drop,"first-draft stock×reach matrix; stock=hashtag statsV2 videoCount, reach=likely_relevant playCount; requires targeted manual review before final tiering"
6,二十四节气,"The Twenty-Four Solar Terms, knowledge in China of time and practices developed through observation of the sun's annual motion",RL,传统知识/民俗,clean,2636,long_tail,stock_mid,chinesecalendar,39721144,5,0,0,middle_40_70pct_reach,6.202937,31700849,191,3800000,1048500,34,0.0909,0.225,reach_mid,lower_70_90pct_reach,348781807,lower_70_90pct_reach,53148595,0.8476,high,True,1,849,203,63,617,7514831391079648543,https://www.tiktok.com/@whataboutaub/video/7514831391079648543,"Was the Chinese Calendar correct for your pregnancies? I used to think it was wrong, but then I realized I wasn’t calculating the Lunar New Year change every year. 🤦🏻‍♀️ I put everything into chat GPT with my birthday, c",https://www.tiktok.com/@l0nelysoul0/video/7629582028886789406,https://www.tiktok.com/@.memescreens/video/7624787630131105042,stock_low__reach_low,低存量低触达：近乎隐形候选,P0_noise_or_tier_drop,"first-draft stock×reach matrix; stock=hashtag statsV2 videoCount, reach=likely_relevant playCount; requires targeted manual review before final tiering"
7,中国珠算,"Chinese Zhusuan, knowledge and practices of mathematical calculation through the abacus",RL,传统知识,clean,304,near_invisible,stock_low,珠算,1619958943863809,2,2,0,top_20pct_reach,7.065301,283844719,218,51000000,5630000,105,0.5593,0.3528,reach_high,middle_40_70pct_reach,507482849,high_20_40pct_reach,295416582,0.4179,medium,True,2,618,220,45,380,7526849661034876165,https://www.tiktok.com/@dy991891/video/7526849661034876165,Generasi emas sesungguhnya dari sebuah bangsa🤴🏻 #sempoamental #abacus #matematika #genalpha ,https://www.tiktok.com/@dy991891/video/7526849661034876165,https://www.tiktok.com/@dy991891/video/7526849661034876165,stock_low__reach_high,低存量高触达：小而精破圈候选,P1_low_stock_high_reach,"first-draft stock×reach matrix; stock=hashtag statsV2 videoCount, reach=likely_relevant playCount; requires targeted manual review before final tiering"
8,福建木偶戏,Strategy for training coming generations of Fujian puppetry practitioners,GSP,保护实践(木偶戏),clean,315,near_invisible,stock_low,布袋戏,1563734879977474,3,0,0,bottom_10pct_reach,4.95966,1436465,61,761500,32800,2,0.0023,0.0705,reach_low,middle_40_70pct_reach,623321342,middle_40_70pct_reach,73828063,0.8816,high,True,-2,865,66,85,753,7453770690328710446,https://www.tiktok.com/@mongthientruong/video/7453770690328710446,Nơi Ở Của Mạnh Khương Nữ Người Khóc Đổ Vạn Lý Trường Thành #SmallBusiness #TikTokBusinessCampaign #MoneySavingTips #HistoryTok  #TikTokHumanitiesCampaign #BookRecommendations #cànlongtruyện #tửcấmthành #fyp #viral #mạnhk,https://www.tiktok.com/@yigerenyetinghaode/video/7646044803981004050,https://www.tiktok.com/@pizza.55555/video/7496793604933946679,stock_low__reach_low,低存量低触达：近乎隐形候选,P0_noise_or_tier_drop,"first-draft stock×reach matrix; stock=hashtag statsV2 videoCount, reach=likely_relevant playCount; requires targeted manual review before final tiering"
9,赫哲族伊玛堪,Hezhe Yimakan storytelling,USL,口头传统/史诗,clean,17,near_invisible,stock_low,hezhe,1647280804093954,2,0,2,middle_40_70pct_reach,6.028114,15530401,62,3800000,745955,24,0.049,0.0945,reach_mid,bottom_10pct_reach,317137967,lower_70_90pct_reach,20735989,0.9346,high,True,2,656,63,40,556,7572567790519897364,https://www.tiktok.com/@zhezhehe/video/7572567790519897364,#xuhuong #fyp #cosplay ,https://www.tiktok.com/@mayilong0/video/7166206744530570497,https://www.tiktok.com/@zhezhehe/video/7572567790519897364,stock_low__reach_low,低存量低触达：近乎隐形候选,P0_noise_or_tier_drop,"first-draft stock×reach matrix; stock=hashtag statsV2 videoCount, reach=likely_relevant playCount; requires targeted manual review before final tiering"
10,中国皮影戏,Chinese shadow puppetry,RL,表演艺术,clean,935,near_invisible,stock_low,piying,72920339,2,1,0,lower_70_90pct_reach,5.810895,13264017,163,3300000,257620,15,0.0163,0.2239,reach_low,high_20_40pct_reach,814114302,middle_40_70pct_reach,78808469,0.9032,high,True,-2,728,191,107,514,7017719800428285185,https://www.tiktok.com/@pandatalk_/video/7017719800428285185,An art of using shadows-Chinese shadow puppetry!#china #foryou #fyp #tiktok #shadow,https://www.tiktok.com/@yigerenyetinghaode/video/7646044803981004050,https://www.tiktok.com/@pizza.55555/video/7496793604933946679,stock_low__reach_low,低存量低触达：近乎隐形候选,P0_noise_or_tier_drop,"first-draft stock×reach matrix; stock=hashtag statsV2 videoCount, reach=likely_relevant playCount; requires targeted manual review before final tiering"
11,麦西热甫,Meshrep,USL,表演艺术/民俗,clean,54,near_invisible,stock_low,meshrep,1607843679015938,1,0,2,high_20_40pct_reach,6.903347,145911002,96,66700000,3675000,67,0.3556,0.1771,reach_high,middle_40_70pct_reach,410304017,high_20_40pct_reach,148536844,0.638,high,True,1,542,96,36,410,7515401417339702550,https://www.tiktok.com/@yuji_beleza/video/7515401417339702550,Uyghur language ❤️ . #uyghur #turkish #uzbek #uzbekistan #japanese #azerban #vienna #turkic ,https://www.tiktok.com/@yuji_beleza/video/7515401417339702550,https://www.tiktok.com/@yuji_beleza/video/7515401417339702550,stock_low__reach_high,低存量高触达：小而精破圈候选,P1_low_stock_high_reach,"first-draft stock×reach matrix; stock=hashtag statsV2 videoCount, reach=likely_relevant playCount; requires targeted manual review before final tiering"
12,中国水密隔舱福船制造技艺,Watertight-bulkhead technology of Chinese junks,USL,传统手工艺,clean,343,near_invisible,stock_low,junkboat,37461338,3,1,1,top_20pct_reach,7.079254,302908225,243,48200000,6200000,92,0.3996,0.3413,reach_high,high_20_40pct_reach,758064231,top_20pct_reach,310080943,0.591,high,True,1,712,243,35,434,7555028481403309325,https://www.tiktok.com/@junkyyj/video/7555028481403309325,asmr junk journal with me! late night Taco Bell 🤝 me  most GORGEOUS GREEN RING from @Abby.rose.designs check her out y’all her jewelry is insane and so well made #junkjournal #junkjournaling #asmr #scrapbooking #scrapboo,https://www.tiktok.com/@jungkook/video/7620981615036255509,https://www.tiktok.com/@junkyyj/video/7555028481403309325,stock_low__reach_high,低存量高触达：小而精破圈候选,P1_low_stock_high_reach,"first-draft stock×reach matrix; stock=hashtag statsV2 videoCount, reach=likely_relevant playCount; requires targeted manual review before final tiering"
13,中国木活字印刷术,Wooden movable-type printing of China,USL,传统手工艺,clean,171,near_invisible,stock_low,活字,1619364617568257,4,0,0,high_20_40pct_reach,6.918147,116544338,65,47700000,9460000,14,0.1195,0.0789,reach_high,high_20_40pct_reach,975576060,high_20_40pct_reach,163965620,0.8319,high,False,0,824,68,102,693,7404039857405742344,https://www.tiktok.com/@xiedapao88/video/7404039857405742344,中国四大发明之一：活字印刷术。一起来感受中国传统文化的魅力！One of the four great inventions of China: movable type printing. Let's feel the charm of traditional Chinese culture!#活字印刷术 #中国传统文化 #中国非物质文化遗产 #传统文化 #中国传统文化 #传统手艺 #传统手工艺 #中国非物质 #传统艺人#传统手工艺人,https://www.tiktok.com/@engineezy/video/7632096837394058516,https://www.tiktok.com/@xiedapao88/video/7404039857405742344,stock_low__reach_high,低存量高触达：小而精破圈候选,P0_noise_or_tier_drop,"first-draft stock×reach matrix; stock=hashtag statsV2 videoCount, reach=likely_relevant playCount; requires targeted manual review before final tiering"
14,京剧,Peking opera,RL,表演艺术(戏曲),clean,7633,long_tail,stock_mid,pekingopera,2171681,3,0,0,top_20pct_reach,7.053434,332608249,366,57700000,3675000,160,0.5761,0.663,reach_high,high_20_40pct_reach,577344963,top_20pct_reach,387564578,0.3287,medium,True,1,552,496,149,96,7205388003118697770,https://www.tiktok.com/@musicwang136/video/7205388003118697770,#chinese #京剧 #foryou ,https://www.tiktok.com/@musicwang136/video/7205388003118697770,https://www.tiktok.com/@musicwang136/video/7205388003118697770,stock_low__reach_high,低存量高触达：小而精破圈候选,P1_low_stock_high_reach,"first-draft stock×reach matrix; stock=hashtag statsV2 videoCount, reach=likely_relevant playCount; requires targeted manual review before final tiering"
15,中医针灸,Acupuncture and moxibustion of traditional Chinese medicine,RL,传统医药,clean,7351,long_tail,stock_mid,针灸,1571232196402177,1,1,0,top_20pct_reach,7.023178,329199475,368,34700000,4160000,148,0.4629,0.7449,reach_high,top_20pct_reach,711227523,high_20_40pct_reach,366516261,0.4847,medium,False,0,494,384,36,109,7311475414835170592,https://www.tiktok.com/@ritakharita/video/7311475414835170592,"The World Health Organisation officially approved acupuncture and now recommends it for over 100 conditions including depression, anxiety and apathy. It was tough at the beginning, but you get used to it and it feels rea",https://www.tiktok.com/@thecupdoc/video/7520493733565992206,https://www.tiktok.com/@ritakharita/video/7311475414835170592,stock_low__reach_high,低存量高触达：小而精破圈候选,P1_low_stock_high_reach,"first-draft stock×reach matrix; stock=hashtag statsV2 videoCount, reach=likely_relevant playCount; requires targeted manual review before final tiering"
16,黎族传统纺染织绣技艺,"Traditional Li textile techniques: spinning, dyeing, weaving and embroidering",USL,传统手工艺,clean,48,near_invisible,stock_low,litextiles,7508666074515275798,5,0,0,middle_40_70pct_reach,6.139371,17747302,82,5400000,1261280,15,0.0411,0.0844,reach_mid,middle_40_70pct_reach,431336490,lower_70_90pct_reach,48765029,0.8869,high,False,0,971,84,140,798,7409140339413470495,https://www.tiktok.com/@littleturtlelisa/video/7409140339413470495,Li Brocade Show#hainan #littleturtlelisa #tourofhainan #cycling #cycle ,https://www.tiktok.com/@huatieutieu/video/7631450622050454792,https://www.tiktok.com/@littleturtlelisa/video/7409140339413470495,stock_low__reach_low,低存量低触达：近乎隐形候选,P0_noise_or_tier_drop,"first-draft stock×reach matrix; stock=hashtag statsV2 videoCount, reach=likely_relevant playCount; requires targeted manual review before final tiering"
17,中国木拱桥传统营造技艺,Traditional design and practices for building Chinese wooden arch bridges,USL,传统手工艺/建筑,clean,13,near_invisible,stock_low,廊桥,7299116243213746209,3,1,0,lower_70_90pct_reach,5.589916,7005393,191,1400000,179900,17,0.0439,0.2916,reach_low,bottom_10pct_reach,159734941,bottom_10pct_reach,7860753,0.9508,high,True,1,655,193,27,444,7257632753879895339,https://www.tiktok.com/@thomasmiller2334/video/7257632753879895339,The Old Covered Bridge,https://www.tiktok.com/@indra.dahal24/video/7642174414309575957,https://www.tiktok.com/@thomasmiller2334/video/7257632753879895339,stock_low__reach_low,低存量低触达：近乎隐形候选,P0_noise_or_tier_drop,"first-draft stock×reach matrix; stock=hashtag statsV2 videoCount, reach=likely_relevant playCount; requires targeted manual review before final tiering"
18,羌年,Qiang New Year festival,USL,节庆民俗,clean,7,near_invisible,stock_low,qiangculture,7435604842006970401,2,0,1,middle_40_70pct_reach,6.358721,38667397,104,8600000,1585000,28,0.0489,0.1612,reach_mid,high_20_40pct_reach,790005118,high_20_40pct_reach,169536309,0.7854,high,True,-1,645,104,130,425,7595297313250135304,https://www.tiktok.com/@qiangchinatravel/video/7595297313250135304,Nhà của Dai Dai đón khách nhiều tới nỗi bố mẹ không muốn ra khỏi phòng nữa vì quá mệt . ăn tết có 2 ngày giờ thành 4 ngày còn chưa hết người #qiangchina #chinatravel #tourchina #daidaitrungquoc #呆呆 ,https://www.tiktok.com/@poopthien/video/7566468066406567181,https://www.tiktok.com/@winmg868/video/7064084394142715163,stock_low__reach_low,低存量低触达：近乎隐形候选,P2_noise_risk,"first-draft stock×reach matrix; stock=hashtag statsV2 videoCount, reach=likely_relevant playCount; requires targeted manual review before final tiering"
19,侗族大歌,Grand song of the Dong ethnic group,RL,表演艺术(音乐),clean,10,near_invisible,stock_low,侗族大歌,1653719186273282,3,0,0,bottom_10pct_reach,4.458109,298248,62,72400,30610,0,0.001,0.1084,reach_low,lower_70_90pct_reach,303528771,bottom_10pct_reach,9641723,0.9682,high,True,-1,572,66,50,462,7267009498705972523,https://www.tiktok.com/@candiselin86/video/7267009498705972523,#china #chinese #sportsontiktok #tiktokpartner #football #soccer #village #miao #ethnicminority #苗族 #侗族 #足球 #中国人 #footballgame   ,https://www.tiktok.com/@germangents/video/7545888844516822294,https://www.tiktok.com/@for.chaney.linqiunan/video/7626972893062171924,stock_low__reach_low,低存量低触达：近乎隐形候选,P0_noise_or_tier_drop,"first-draft stock×reach matrix; stock=hashtag statsV2 videoCount, reach=likely_relevant playCount; requires targeted manual review before final tiering"
20,西安鼓乐,Xi'an wind and percussion ensemble,RL,表演艺术(音乐),clean,9,near_invisible,stock_low,西安鼓乐,7448384893173628944,1,1,1,middle_40_70pct_reach,6.353695,25052555,55,6000000,3510000,14,0.0203,0.0759,reach_mid,top_20pct_reach,1235847410,middle_40_70pct_reach,47693121,0.9614,high,True,-2,725,58,80,596,7434569668196601144,https://www.tiktok.com/@infinity_drum/video/7434569668196601144,Playing aria math from minecraft on the infinity drum again! Infinity Drum C Aegean . . . . . #minecraft #minecraftmusic #ariamath #soundtracks #soundtrack #minecraftmemes #minecraftfanart #infinitydrum #steeltonguedrum ,https://www.tiktok.com/@thedrumpath/video/7397040267813080336,https://www.tiktok.com/@kungfuteam/video/7635089409666256146,stock_low__reach_low,低存量低触达：近乎隐形候选,P0_noise_or_tier_drop,"first-draft stock×reach matrix; stock=hashtag statsV2 videoCount, reach=likely_relevant playCount; requires targeted manual review before final tiering"
21,中国蚕桑丝织技艺,Sericulture and silk craftsmanship of China,RL,传统手工艺,clean,508,near_invisible,stock_low,sericulture,1613492238414853,5,0,2,middle_40_70pct_reach,6.299967,53694741,176,29300000,428025,19,0.0671,0.1684,reach_mid,high_20_40pct_reach,799875619,high_20_40pct_reach,210237061,0.7388,high,True,-1,1045,187,197,746,7285420837681892639,https://www.tiktok.com/@peter.pan810/video/7285420837681892639,"5000 years ago, the Chinese learned to make quilts from the silk of the silkworm, which are breathable, light, and cozy.#culture #handcraft #handwork #fyp #foryou #ancient #china #chineseculture ",https://www.tiktok.com/@art_dailydose/video/7629739373419957524,https://www.tiktok.com/@art_dailydose/video/7629739373419957524,stock_low__reach_low,低存量低触达：近乎隐形候选,P2_noise_risk,"first-draft stock×reach matrix; stock=hashtag statsV2 videoCount, reach=likely_relevant playCount; requires targeted manual review before final tiering"
