project_id,project_name,project_name_en,list_type,category,scale_data_state,scale_video_count_best,scale_video_count_tier,stock_band,scale_best_hashtag,scale_best_challenge_id,scale_terms_clean,scale_terms_noisy,scale_terms_unavailable_or_failed,likely_reach_tier,likely_reach_score,likely_total_play,likely_unique_videos,likely_max_play,likely_p95_play,likely_videos_ge_100k,likely_play_ratio,likely_video_ratio,reach_band,raw_reach_tier,raw_total_play,inclusive_reach_tier,inclusive_total_play,low_relevance_play_ratio,reach_noise_risk,reach_tier_changed_after_relevance_filter,raw_to_likely_tier_delta,raw_unique_videos,label_likely_relevant_rows,label_needs_review_rows,label_low_relevance_rows,likely_top_video_id,likely_top_video_url,likely_top_video_desc,raw_top_video_url,inclusive_top_video_url,quadrant,quadrant_label,review_priority,matrix_note
22,南音,Nanyin,RL,表演艺术(音乐),clean,854,near_invisible,stock_low,Nanyin,1680562934834177,2,1,0,middle_40_70pct_reach,6.02624,18814705,132,2100000,826345,27,0.0501,0.1708,reach_mid,lower_70_90pct_reach,375385895,lower_70_90pct_reach,21511718,0.9427,high,True,1,773,143,63,599,7532483006053829910,https://www.tiktok.com/@levixoneoffical1/video/7532483006053829910,Nanyini fuujo @Desire ,https://www.tiktok.com/@fujian1060/video/7152877072203975962,https://www.tiktok.com/@levixoneoffical1/video/7532483006053829910,stock_low__reach_low,低存量低触达：近乎隐形候选,P0_noise_or_tier_drop,"first-draft stock×reach matrix; stock=hashtag statsV2 videoCount, reach=likely_relevant playCount; requires targeted manual review before final tiering"
23,南京云锦织造技艺,Craftsmanship of Nanjing Yunjin brocade,RL,传统手工艺,clean,603357,head,stock_high,yunjin,81942450,4,0,0,high_20_40pct_reach,6.646216,101751989,207,13000000,2220000,98,0.2194,0.3286,reach_high,middle_40_70pct_reach,463757624,middle_40_70pct_reach,123755870,0.7331,high,True,1,630,216,89,343,7632561832489733384,https://www.tiktok.com/@le_sserafim/video/7632561832489733384,𝒯𝒾𝓂ℯ 𝓉ℴ 𝒸ℯ𝓁ℯ𝒷𝓇𝒶𝓉ℯ #HUHYUNJIN ✮  #CELEBRATION ,https://www.tiktok.com/@destinationexplore/video/7227057440968183042,https://www.tiktok.com/@le_sserafim/video/7632561832489733384,stock_high__reach_high,真·规模化出海候选,P2_noise_risk,"first-draft stock×reach matrix; stock=hashtag statsV2 videoCount, reach=likely_relevant playCount; requires targeted manual review before final tiering"
24,宣纸传统制作技艺,Traditional handicrafts of making Xuan paper,RL,传统手工艺,clean,128,near_invisible,stock_low,xuanpaper,1685694407006209,2,2,0,top_20pct_reach,7.016308,282772611,253,28200000,5640000,112,0.2663,0.364,reach_high,top_20pct_reach,1061958793,top_20pct_reach,721844895,0.3256,medium,False,0,695,259,161,288,7416496883885018398,https://www.tiktok.com/@davdlifts/video/7416496883885018398,How to make giant cheesy ricecakes with ricepaper #jenniferngo #davidngo #mukbang #buldakramen #ricecakes #buldak ,https://www.tiktok.com/@meet_east/video/7130057943722003758,https://www.tiktok.com/@meet_east/video/7130057943722003758,stock_low__reach_high,低存量高触达：小而精破圈候选,P1_low_stock_high_reach,"first-draft stock×reach matrix; stock=hashtag statsV2 videoCount, reach=likely_relevant playCount; requires targeted manual review before final tiering"
25,粤剧,Yueju opera,RL,表演艺术(戏曲),clean,289,near_invisible,stock_low,cantoneseopera,1644085413313537,2,0,0,lower_70_90pct_reach,5.980339,13055989,113,5200000,626800,14,0.0442,0.2473,reach_low,middle_40_70pct_reach,295526017,middle_40_70pct_reach,121734224,0.5881,high,True,-1,457,159,120,291,7549503001975704854,https://www.tiktok.com/@clou11103/video/7549503001975704854,The prelude is sampled from the Cantonese opera Princess Changping (Di Nü Hua).🫶 #kelou #clou #大展鸿图 #skaiisyourgod #vienna ,https://www.tiktok.com/@musicwang136/video/7205388003118697770,https://www.tiktok.com/@musicwang136/video/7205388003118697770,stock_low__reach_low,低存量低触达：近乎隐形候选,P2_noise_risk,"first-draft stock×reach matrix; stock=hashtag statsV2 videoCount, reach=likely_relevant playCount; requires targeted manual review before final tiering"
26,格萨(斯)尔史诗传统,Gesar epic tradition,RL,口头传统/史诗,clean,227,near_invisible,stock_low,gesar,23810729,5,0,0,lower_70_90pct_reach,5.38934,3511908,79,646800,204080,5,0.0053,0.1202,reach_low,high_20_40pct_reach,663013279,top_20pct_reach,494230558,0.2546,high,True,-2,657,81,182,412,7468004942196837654,https://www.tiktok.com/@ef_gesarhede/video/7468004942196837654,Natürlich wollen wir draußen arbeiten🤓 #schule #Ak25 #rhede #fyp #gesarhede #fraudiekmann ,https://www.tiktok.com/@nksomin/video/6987630425363565850,https://www.tiktok.com/@nksomin/video/6987630425363565850,stock_low__reach_low,低存量低触达：近乎隐形候选,P0_noise_or_tier_drop,"first-draft stock×reach matrix; stock=hashtag statsV2 videoCount, reach=likely_relevant playCount; requires targeted manual review before final tiering"
27,龙泉青瓷传统烧制技艺,Traditional firing technology of Longquan celadon,RL,传统手工艺,clean,657,near_invisible,stock_low,longquanceladon,1670841724119045,1,0,0,high_20_40pct_reach,6.762153,168495917,282,46100000,1695000,49,0.4292,0.4434,reach_high,middle_40_70pct_reach,392626319,high_20_40pct_reach,194441068,0.5048,high,True,1,636,302,60,310,7569629481434975502,https://www.tiktok.com/@shanbai09/video/7569629481434975502,"龙泉青瓷 Longquan Celadon | Originated in the Five Dynasties, flourished in the Song Dynasty, crafted in Longquan (Zhejiang) with its iconic celadon glaze, a treasure of Chinese porcelain. #traditional #handmade #chinesecraf",https://www.tiktok.com/@shanbai09/video/7569629481434975502,https://www.tiktok.com/@shanbai09/video/7569629481434975502,stock_low__reach_high,低存量高触达：小而精破圈候选,P1_low_stock_high_reach,"first-draft stock×reach matrix; stock=hashtag statsV2 videoCount, reach=likely_relevant playCount; requires targeted manual review before final tiering"
28,热贡艺术,Regong arts,RL,传统手工艺/宗教艺术,clean,37,near_invisible,stock_low,regong,7086743701304639515,2,0,0,lower_70_90pct_reach,5.518147,6899451,236,1800000,106025,13,0.0185,0.3357,reach_low,middle_40_70pct_reach,373763169,bottom_10pct_reach,12588513,0.9663,high,True,-1,703,240,48,431,7433817087862164743,https://www.tiktok.com/@kobitaraniroy4/video/7433817087862164743,#唐卡 #佛教 #佛教文化 ,https://www.tiktok.com/@rehome.life/video/7589872995724774670,https://www.tiktok.com/@kobitaraniroy4/video/7433817087862164743,stock_low__reach_low,低存量低触达：近乎隐形候选,P0_noise_or_tier_drop,"first-draft stock×reach matrix; stock=hashtag statsV2 videoCount, reach=likely_relevant playCount; requires targeted manual review before final tiering"
29,藏戏,Xizang opera,RL,表演艺术(戏曲),clean,808,near_invisible,stock_low,lhamo,13734268,4,0,0,bottom_10pct_reach,5.278431,3523970,162,906900,80825,5,0.0083,0.2488,reach_low,middle_40_70pct_reach,426305888,middle_40_70pct_reach,82979721,0.8054,high,True,-2,651,167,101,394,7581817395174477074,https://www.tiktok.com/@kairareo/video/7581817395174477074,A Live Stream That Ended in Horror: The Lhamo Case. #creatorsearchinsights #foryoupage #fyp #foryou #truestory ,https://www.tiktok.com/@laranaa8/video/7618553054584917261,https://www.tiktok.com/@pizza.55555/video/7496793604933946679,stock_low__reach_low,低存量低触达：近乎隐形候选,P0_noise_or_tier_drop,"first-draft stock×reach matrix; stock=hashtag statsV2 videoCount, reach=likely_relevant playCount; requires targeted manual review before final tiering"
30,玛纳斯,Manas,RL,口头传统/史诗,clean,103875,head,stock_high,manas,781697,2,0,0,high_20_40pct_reach,6.776523,101345094,89,24700000,4940000,33,0.2403,0.2094,reach_high,middle_40_70pct_reach,421670719,middle_40_70pct_reach,121859851,0.711,high,True,1,425,90,82,254,7604472694184185102,https://www.tiktok.com/@manaspalaparti/video/7604472694184185102,"please ignore the ugly grandma bun        ok so quick update lol, my main talking point in this was my dress, not my terrible hair or my lack of makeup. this was filmed close to 3:21 AM after the event was over—so natura",https://www.tiktok.com/@michaelcj.official/video/7538107186161995038,https://www.tiktok.com/@manaspalaparti/video/7604472694184185102,stock_high__reach_high,真·规模化出海候选,P2_noise_risk,"first-draft stock×reach matrix; stock=hashtag statsV2 videoCount, reach=likely_relevant playCount; requires targeted manual review before final tiering"
31,蒙古族呼麦,"Mongolian art of singing, Khoomei",RL,表演艺术(音乐),clean,902,near_invisible,stock_low,khoomei,1617754482966529,3,1,1,top_20pct_reach,7.064941,257066425,163,28800000,9350000,78,0.2466,0.244,reach_high,top_20pct_reach,1042441489,top_20pct_reach,657375344,0.3827,medium,False,0,668,167,141,383,7618062452944669982,https://www.tiktok.com/@lol_ha61/video/7618062452944669982,😂😂😂#chinesethroatsinging #funny ,https://www.tiktok.com/@erklen/video/7544518597226401037,https://www.tiktok.com/@erklen/video/7544518597226401037,stock_low__reach_high,低存量高触达：小而精破圈候选,P1_low_stock_high_reach,"first-draft stock×reach matrix; stock=hashtag statsV2 videoCount, reach=likely_relevant playCount; requires targeted manual review before final tiering"
32,花儿,Hua'er,RL,表演艺术(民歌),clean,166,near_invisible,stock_low,huaer,1654604867075094,1,0,1,bottom_10pct_reach,4.48095,381267,56,243200,11422,1,0.0012,0.1212,reach_low,lower_70_90pct_reach,326138698,lower_70_90pct_reach,22539910,0.9309,high,True,-1,462,56,35,371,7648814634497051922,https://www.tiktok.com/@new.farmer.amin5/video/7648814634497051922,外出旅游再也不用担心花儿没水浇花，手机远程控制一样轻松浇花，No more worrying about watering your flowers while traveling; you can easily water them remotely with your phone.#Automatic watering#الري التلقائي#رأس الرش,https://www.tiktok.com/@bob485518/video/7587698504424852749,https://www.tiktok.com/@sweendyran/video/7601485781860977940,stock_low__reach_low,低存量低触达：近乎隐形候选,P0_noise_or_tier_drop,"first-draft stock×reach matrix; stock=hashtag statsV2 videoCount, reach=likely_relevant playCount; requires targeted manual review before final tiering"
33,中国朝鲜族农乐舞,Farmers' dance of China's Korean ethnic group,RL,表演艺术(舞蹈),clean,41,near_invisible,stock_low,nongak,7111753587746668549,3,0,1,lower_70_90pct_reach,5.581143,6060528,88,2100000,189790,8,0.0193,0.1296,reach_low,lower_70_90pct_reach,314728435,lower_70_90pct_reach,17548806,0.9442,high,False,0,679,88,64,529,7534687344331410694,https://www.tiktok.com/@ibanathimpungose/video/7534687344331410694,Imagine at the age of 9 sewukwazi ukutshela your producer @Andile Didablk Sibiya ukuthi ufuna ihambe kanjani icover version 😂😂😂ikuphi okuthandayo nongakuthandi😂😂😂 yeyi ukhona we Ibanathi Mpungose😂😂😂,https://www.tiktok.com/@shunlinainai2/video/7625496809963621654,https://www.tiktok.com/@china.boys3/video/7626023699652545813,stock_low__reach_low,低存量低触达：近乎隐形候选,P0_noise_or_tier_drop,"first-draft stock×reach matrix; stock=hashtag statsV2 videoCount, reach=likely_relevant playCount; requires targeted manual review before final tiering"
34,中国书法,Chinese calligraphy,RL,传统手工艺/视觉艺术,clean,1715067,head,stock_high,calligraphy,729631,2,1,0,top_20pct_reach,7.384358,842210064,402,67300000,11285000,183,0.7423,0.5835,reach_high,top_20pct_reach,1134619032,top_20pct_reach,891454848,0.2143,low,False,0,689,408,68,228,7542145372022410504,https://www.tiktok.com/@wk_writer__2/video/7542145372022410504,best handwriting in the world 💕💫😇 #handwriting #trending #calligraphy #viral #foryou ,https://www.tiktok.com/@wk_writer__2/video/7542145372022410504,https://www.tiktok.com/@wk_writer__2/video/7542145372022410504,stock_high__reach_high,真·规模化出海候选,P3_normal,"first-draft stock×reach matrix; stock=hashtag statsV2 videoCount, reach=likely_relevant playCount; requires targeted manual review before final tiering"
35,中国篆刻,Art of Chinese seal engraving,RL,传统手工艺,clean,2885,long_tail,stock_mid,篆刻,82346784,3,0,0,middle_40_70pct_reach,6.510782,85411812,323,35600000,821180,34,0.0893,0.4828,reach_mid,top_20pct_reach,956427162,middle_40_70pct_reach,133302791,0.8606,high,True,-2,669,347,32,345,7022520943431929089,https://www.tiktok.com/@sendeculture/video/7022520943431929089,"Chinese seal carving: an art that has been handed down for over 3,000 years, combining calligraphy and engraving.#sealcarving #engraving#china",https://www.tiktok.com/@seal_sealion/video/7584755757833325879,https://www.tiktok.com/@sendeculture/video/7022520943431929089,stock_low__reach_low,低存量低触达：近乎隐形候选,P0_noise_or_tier_drop,"first-draft stock×reach matrix; stock=hashtag statsV2 videoCount, reach=likely_relevant playCount; requires targeted manual review before final tiering"
36,中国剪纸,Chinese paper-cut,RL,传统手工艺,clean,28432,mid,stock_high,papercutting,9227684,2,1,0,high_20_40pct_reach,6.888863,205339021,300,36500000,3210000,78,0.2905,0.4823,reach_high,high_20_40pct_reach,706737979,top_20pct_reach,399890083,0.4342,medium,False,0,622,325,180,198,6943714855299943685,https://www.tiktok.com/@onlyjayus/video/6943714855299943685,Life Advice with Jayus 🤓🐝 #fyp #lifeadvice #advice #lifehacks #hacks #protip #tips #onlyjayus #bees #papercut #hiccups #gay #onlyjayus,https://www.tiktok.com/@onlyjayus/video/6943714855299943685,https://www.tiktok.com/@onlyjayus/video/6943714855299943685,stock_high__reach_high,真·规模化出海候选,P3_normal,"first-draft stock×reach matrix; stock=hashtag statsV2 videoCount, reach=likely_relevant playCount; requires targeted manual review before final tiering"
37,中国传统木结构建筑营造技艺,Chinese traditional architectural craftsmanship for timber-framed structures,RL,传统手工艺/建筑,clean,16173,mid,stock_high,timberframe,1629199774957573,2,0,0,middle_40_70pct_reach,6.470498,70719861,304,21200000,881375,58,0.1052,0.3523,reach_mid,high_20_40pct_reach,672167120,middle_40_70pct_reach,180051073,0.7321,high,True,-1,863,305,88,481,7178939278246956331,https://www.tiktok.com/@shelterinstitute/video/7178939278246956331,Scarf joint peg driving #timberframe #timberframing #housebuilding #homebuilding #woodworking #shelterinstitute #construction #homeownership #satisfying  #explore #handmade #home ,https://www.tiktok.com/@ishalcncwoodart_official/video/7591831028256296195,https://www.tiktok.com/@shelterinstitute/video/7178939278246956331,stock_high__reach_low,高存量低触达：自产自销/虚假繁荣候选,P0_stock_high_reach_low,"first-draft stock×reach matrix; stock=hashtag statsV2 videoCount, reach=likely_relevant playCount; requires targeted manual review before final tiering"
38,端午节,Dragon Boat festival,RL,节庆民俗,clean,8891,long_tail,stock_mid,端午节,68111805,3,2,0,middle_40_70pct_reach,6.596426,111202009,388,48300000,729770,81,0.3104,0.4899,reach_mid,lower_70_90pct_reach,358198018,middle_40_70pct_reach,215263996,0.399,medium,True,1,792,416,187,226,7378664738378517806,https://www.tiktok.com/@art6859/video/7378664738378517806,端午安康#dominoeffect #domino #foryou ,https://www.tiktok.com/@art6859/video/7378664738378517806,https://www.tiktok.com/@art6859/video/7378664738378517806,stock_low__reach_low,低存量低触达：近乎隐形候选,P3_normal,"first-draft stock×reach matrix; stock=hashtag statsV2 videoCount, reach=likely_relevant playCount; requires targeted manual review before final tiering"
39,妈祖信俗,Mazu belief and customs,RL,民俗信仰,clean,13995,mid,stock_high,mazu,5974011,2,0,0,middle_40_70pct_reach,6.507503,68236788,219,10600000,1740000,57,0.2385,0.4803,reach_mid,lower_70_90pct_reach,286145813,middle_40_70pct_reach,76653851,0.7321,high,True,1,456,222,18,220,7349714092636114218,https://www.tiktok.com/@mazufashion/video/7349714092636114218,Dickies men’s cargo pants 😍 #mazufashion  #fyp #foryou #ca #anaheim #oc #localclothingstore #localclothingstore #fashiontok #foryou #dickies #cargopants #onlineshopping @Dickies ,https://www.tiktok.com/@mazzu777/video/7083716709554736385,https://www.tiktok.com/@mazufashion/video/7349714092636114218,stock_high__reach_low,高存量低触达：自产自销/虚假繁荣候选,P0_stock_high_reach_low,"first-draft stock×reach matrix; stock=hashtag statsV2 videoCount, reach=likely_relevant playCount; requires targeted manual review before final tiering"
40,中国雕版印刷技艺,China engraved block printing technique,RL,传统手工艺,clean,31993,mid,stock_high,blockprinting,83894619,2,0,0,middle_40_70pct_reach,6.38872,62551113,229,11400000,907880,42,0.172,0.3373,reach_mid,lower_70_90pct_reach,363578958,middle_40_70pct_reach,80502086,0.7786,high,True,1,679,229,51,415,7245435626198191402,https://www.tiktok.com/@aaleiyasart/video/7245435626198191402,Jaw dropping #blockprint #blockprinting #linocut #linoprintprocess #printmakingprocess #printmaking #printmaker #handmade #handcarvedstamp #artistsoftiktok #arttok #skull #jaw #skeleton ,https://www.tiktok.com/@explore.china6/video/7322759248818081055,https://www.tiktok.com/@aaleiyasart/video/7245435626198191402,stock_high__reach_low,高存量低触达：自产自销/虚假繁荣候选,P0_stock_high_reach_low,"first-draft stock×reach matrix; stock=hashtag statsV2 videoCount, reach=likely_relevant playCount; requires targeted manual review before final tiering"
41,昆曲,Kun Qu opera,RL,表演艺术(戏曲),clean,844,near_invisible,stock_low,昆曲,76086458,4,0,0,lower_70_90pct_reach,5.66164,10507062,265,1700000,169440,18,0.0456,0.4295,reach_low,bottom_10pct_reach,230243040,lower_70_90pct_reach,24025940,0.8956,high,True,1,617,320,58,305,7210829990177295621,https://www.tiktok.com/@opera_san_/video/7210829990177295621,Opera-senpai 💔 #welcometodemonschoolirumakun #operasan #operasenpai #opera #anime #animeedit #operaanime #irumakun #animetiktok #animefyp #animeboy #animerecommendations #fypシ #fypage #rec #аніме #операсан #едіт #kalegos,https://www.tiktok.com/@brian.liu1/video/7637255776473517319,https://www.tiktok.com/@ineloc.1/video/7398241664290082054,stock_low__reach_low,低存量低触达：近乎隐形候选,P0_noise_or_tier_drop,"first-draft stock×reach matrix; stock=hashtag statsV2 videoCount, reach=likely_relevant playCount; requires targeted manual review before final tiering"
42,古琴艺术,Guqin and its music,RL,表演艺术(音乐),clean,9346,long_tail,stock_mid,guqin,1602530414236678,2,0,0,high_20_40pct_reach,6.708008,124226001,277,38900000,1420000,108,0.3721,0.5688,reach_high,middle_40_70pct_reach,333838031,middle_40_70pct_reach,189935279,0.4311,medium,True,1,487,314,85,161,7569493475566030135,https://www.tiktok.com/@hudddjd/video/7569493475566030135,Ru porcelain and guqin making#craftsman#handmade #fyp #rurallife #handwork  ,https://www.tiktok.com/@hudddjd/video/7569493475566030135,https://www.tiktok.com/@hudddjd/video/7569493475566030135,stock_low__reach_high,低存量高触达：小而精破圈候选,P1_low_stock_high_reach,"first-draft stock×reach matrix; stock=hashtag statsV2 videoCount, reach=likely_relevant playCount; requires targeted manual review before final tiering"
43,新疆维吾尔木卡姆艺术,Uyghur Muqam of Xinjiang,RL,表演艺术(音乐),clean,7108,long_tail,stock_mid,muqam,1609857053030406,3,0,0,lower_70_90pct_reach,5.860304,9592744,88,1600000,720975,17,0.0488,0.1696,reach_low,bottom_10pct_reach,196603306,bottom_10pct_reach,15133070,0.923,high,True,1,519,93,59,379,7646789108911623446,https://www.tiktok.com/@kingwithqueen12/video/7646789108911623446,Allah pak mare papa ko jannat ul firdous mein alla muqam ata kare ameen suma meen#🤲🤲❤️❤️❤️😘😘😘 #true #lines🥺 #🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹 ,https://www.tiktok.com/@thomastfu/video/7589712529983589653,https://www.tiktok.com/@kingwithqueen12/video/7646789108911623446,stock_low__reach_low,低存量低触达：近乎隐形候选,P0_noise_or_tier_drop,"first-draft stock×reach matrix; stock=hashtag statsV2 videoCount, reach=likely_relevant playCount; requires targeted manual review before final tiering"
44,蒙古族长调民歌,"Urtiin Duu, traditional folk long song",RL,表演艺术(音乐),clean,21,near_invisible,stock_low,urtiinduu,7227235737232637958,1,1,0,lower_70_90pct_reach,5.765034,7254977,65,1500000,528500,17,0.0071,0.1053,reach_low,top_20pct_reach,1028040693,lower_70_90pct_reach,12831217,0.9875,high,True,-3,617,67,18,540,7641278900173114637,https://www.tiktok.com/@radlizardglizard/video/7641278900173114637,"Replying to @s£n this is the only version I knew, well until yesterday. Most definitely the version I still prefer  I cut the video a little bit cause it is a three minute long song lmao so I kept it at my favorite parts",https://www.tiktok.com/@erklen/video/7544518597226401037,https://www.tiktok.com/@clou11103/video/7575850528962350358,stock_low__reach_low,低存量低触达：近乎隐形候选,P0_noise_or_tier_drop,"first-draft stock×reach matrix; stock=hashtag statsV2 videoCount, reach=likely_relevant playCount; requires targeted manual review before final tiering"
