project_id,project_name,project_name_en,list_type,category,scale_data_state,scale_video_count_best,scale_video_count_tier,stock_band,scale_best_hashtag,likely_reach_tier_statistical,likely_reach_tier,likely_reach_score,likely_total_play,likely_unique_videos,likely_max_play,likely_p95_play,likely_videos_ge_100k,likely_play_ratio,likely_video_ratio,reach_band_statistical,reach_band,raw_reach_tier,raw_total_play,inclusive_reach_tier,inclusive_total_play,low_relevance_play_ratio,reach_noise_risk,raw_to_likely_tier_delta,raw_unique_videos,label_likely_relevant_rows,label_needs_review_rows,label_low_relevance_rows,auto_label_likely_relevant_rows,auto_label_needs_review_rows,auto_label_low_relevance_rows,manual_reviewed_rows,manual_related_rows,manual_uncertain_rows,manual_unrelated_rows,manual_changed_rows,likely_top_video_url,likely_top_video_desc,manual_audit_verdict,manual_audit_note,quadrant,quadrant_label,previous_quadrant,previous_likely_reach_tier,previous_likely_total_play,manual_corrected_quadrant_changed,manual_corrected_reach_tier_changed,manual_reach_play_delta,review_priority,matrix_note
21,中国蚕桑丝织技艺,Sericulture and silk craftsmanship of China,RL,传统手工艺,clean,508,near_invisible,stock_low,sericulture,middle_40_70pct_reach,middle_40_70pct_reach,6.247013,48894741,175,29300000,336670,18,0.0611,0.1675,reach_mid,reach_mid,high_20_40pct_reach,799875619,high_20_40pct_reach,205437061,0.7448,high,-1,1045,185,197,748,187,197,746,4,0,0,4,2,https://www.tiktok.com/@peter.pan810/video/7285420837681892639,"5000 years ago, the Chinese learned to make quilts from the silk of the silkworm, which are breathable, light, and cozy.#culture #handcraft #handwork #fyp #foryou #ancient #china #chineseculture ",,,stock_low__reach_low,低存量低触达：近乎隐形候选,stock_low__reach_low,middle_40_70pct_reach,53694741,False,False,-4800000,P0_manual_false_breakout,manual-corrected stock×reach matrix; reviewed videos override auto labels; unreviewed videos keep auto labels
22,南音,Nanyin,RL,表演艺术(音乐),clean,854,near_invisible,stock_low,Nanyin,lower_70_90pct_reach,lower_70_90pct_reach,5.905591,14314705,129,1200000,698400,24,0.0381,0.1669,reach_low,reach_low,lower_70_90pct_reach,375385895,lower_70_90pct_reach,16145818,0.957,high,0,773,140,61,604,143,63,599,10,0,0,10,5,https://www.tiktok.com/@nanf_music/video/7232797979835370794,#music #fyp #我要上推薦 #音樂 #粉丝 ,,,stock_low__reach_low,低存量低触达：近乎隐形候选,stock_low__reach_low,middle_40_70pct_reach,18814705,False,True,-4500000,P0_manual_false_breakout,manual-corrected stock×reach matrix; reviewed videos override auto labels; unreviewed videos keep auto labels
23,南京云锦织造技艺,Craftsmanship of Nanjing Yunjin brocade,RL,传统手工艺,clean,603357,head,stock_high,yunjin,high_20_40pct_reach,high_20_40pct_reach,6.646216,101751989,207,13000000,2220000,98,0.2194,0.3286,reach_high,reach_high,middle_40_70pct_reach,463757624,middle_40_70pct_reach,123755870,0.7331,high,1,630,216,89,343,216,89,343,0,0,0,0,0,https://www.tiktok.com/@le_sserafim/video/7632561832489733384,𝒯𝒾𝓂ℯ 𝓉ℴ 𝒸ℯ𝓁ℯ𝒷𝓇𝒶𝓉ℯ #HUHYUNJIN ✮  #CELEBRATION ,,,stock_high__reach_high,真·规模化出海候选,stock_high__reach_high,high_20_40pct_reach,101751989,False,False,0,P2_noise_risk,manual-corrected stock×reach matrix; reviewed videos override auto labels; unreviewed videos keep auto labels
24,宣纸传统制作技艺,Traditional handicrafts of making Xuan paper,RL,传统手工艺,clean,128,near_invisible,stock_low,xuanpaper,top_20pct_reach,top_20pct_reach,7.025465,273472611,251,38000000,5250000,110,0.2575,0.3612,reach_high,reach_high,top_20pct_reach,1061958793,top_20pct_reach,627644895,0.4143,medium,0,695,258,159,291,259,161,288,10,3,1,6,9,https://www.tiktok.com/@trendygabriel/video/7321072687260962091,Replying to @ムズキフ he knows how to make that paper💰 #wow #howitsmade ,,,stock_low__reach_high,低存量高触达：小而精破圈候选,stock_low__reach_high,top_20pct_reach,282772611,False,False,-9300000,P1_low_stock_high_reach,manual-corrected stock×reach matrix; reviewed videos override auto labels; unreviewed videos keep auto labels
25,粤剧,Yueju opera,RL,表演艺术(戏曲),clean,289,near_invisible,stock_low,cantoneseopera,middle_40_70pct_reach,middle_40_70pct_reach,6.340782,40755989,114,27700000,811800,15,0.1379,0.2495,reach_mid,reach_mid,middle_40_70pct_reach,295526017,high_20_40pct_reach,151834224,0.4862,medium,0,457,160,119,291,159,120,291,7,1,1,5,4,https://www.tiktok.com/@maisieding6688/video/7159021562836913454,Emergency change makeup #fy #fyp #foryou #foryoupage #opera #pekingopera #china #chineseculture ,,,stock_low__reach_low,低存量低触达：近乎隐形候选,stock_low__reach_low,lower_70_90pct_reach,13055989,False,True,27700000,P3_normal,manual-corrected stock×reach matrix; reviewed videos override auto labels; unreviewed videos keep auto labels
26,格萨(斯)尔史诗传统,Gesar epic tradition,RL,口头传统/史诗,clean,227,near_invisible,stock_low,gesar,lower_70_90pct_reach,lower_70_90pct_reach,5.102243,1787008,76,496400,86025,2,0.0027,0.1157,reach_low,reach_low,high_20_40pct_reach,663013279,top_20pct_reach,355405658,0.464,high,-2,657,78,178,419,81,182,412,10,0,0,10,7,https://www.tiktok.com/@tehocana3333/video/7558969095731825951,Replying to @yiyi_.gym Busca el video de donde viene este comentario #nesara #gesara #soberano #libre #revelaciones369 ,,,stock_low__reach_low,低存量低触达：近乎隐形候选,stock_low__reach_low,lower_70_90pct_reach,3511908,False,False,-1724900,P0_manual_false_breakout,manual-corrected stock×reach matrix; reviewed videos override auto labels; unreviewed videos keep auto labels
27,龙泉青瓷传统烧制技艺,Traditional firing technology of Longquan celadon,RL,传统手工艺,clean,657,near_invisible,stock_low,longquanceladon,high_20_40pct_reach,high_20_40pct_reach,6.599825,112095917,278,46100000,896850,45,0.2855,0.4371,reach_high,reach_high,middle_40_70pct_reach,392626319,middle_40_70pct_reach,162441068,0.5863,high,1,636,295,59,318,302,60,310,16,5,1,10,12,https://www.tiktok.com/@shanbai09/video/7569629481434975502,"龙泉青瓷 Longquan Celadon | Originated in the Five Dynasties, flourished in the Song Dynasty, crafted in Longquan (Zhejiang) with its iconic celadon glaze, a treasure of Chinese porcelain. #traditional #handmade #chinesecraf",,,stock_low__reach_high,低存量高触达：小而精破圈候选,stock_low__reach_high,high_20_40pct_reach,168495917,False,False,-56400000,P1_low_stock_high_reach,manual-corrected stock×reach matrix; reviewed videos override auto labels; unreviewed videos keep auto labels
28,热贡艺术,Regong arts,RL,传统手工艺/宗教艺术,clean,37,near_invisible,stock_low,regong,lower_70_90pct_reach,lower_70_90pct_reach,5.265674,3997651,233,455500,81660,10,0.0107,0.3314,reach_low,reach_low,middle_40_70pct_reach,373763169,bottom_10pct_reach,7530713,0.9799,high,-1,703,237,46,436,240,48,431,10,0,0,10,5,https://www.tiktok.com/@thangka.painting/video/7473271624385662254,"#Thangka handmade painting, #religious art, #Tibetan Thangka",,,stock_low__reach_low,低存量低触达：近乎隐形候选,stock_low__reach_low,lower_70_90pct_reach,6899451,False,False,-2901800,P0_manual_false_breakout,manual-corrected stock×reach matrix; reviewed videos override auto labels; unreviewed videos keep auto labels
29,藏戏,Xizang opera,RL,表演艺术(戏曲),clean,808,near_invisible,stock_low,lhamo,bottom_10pct_reach,bottom_10pct_reach,4.987861,1731170,159,200800,70180,2,0.0041,0.2442,reach_low,reach_low,middle_40_70pct_reach,426305888,lower_70_90pct_reach,36186921,0.9151,high,-2,651,164,98,400,167,101,394,12,0,0,12,6,https://www.tiktok.com/@theroyalfamilyofbhutan/video/7571090782103276808,"Ashi Yeatso Lhamo, wife of His Royal Highness Gyaltsab Jigme Dorji Wangchuck and elder sister of Her Majesty The Gyaltsuen 💛🐉🇧🇹🙇‍♀️💐 #royalfamily #royalfamilyofbhutan #ashiyeatsholhamo #globalpeaceprayer",,,stock_low__reach_low,低存量低触达：近乎隐形候选,stock_low__reach_low,bottom_10pct_reach,3523970,False,False,-1792800,P0_manual_false_breakout,manual-corrected stock×reach matrix; reviewed videos override auto labels; unreviewed videos keep auto labels
30,玛纳斯,Manas,RL,口头传统/史诗,clean,103875,head,stock_high,manas,high_20_40pct_reach,high_20_40pct_reach,6.776523,101345094,89,24700000,4940000,33,0.2403,0.2094,reach_high,reach_high,middle_40_70pct_reach,421670719,high_20_40pct_reach,121859851,0.711,high,1,425,90,82,254,90,82,254,1,0,0,1,0,https://www.tiktok.com/@manaspalaparti/video/7604472694184185102,"please ignore the ugly grandma bun        ok so quick update lol, my main talking point in this was my dress, not my terrible hair or my lack of makeup. this was filmed close to 3:21 AM after the event was over—so natura",,,stock_high__reach_high,真·规模化出海候选,stock_high__reach_high,high_20_40pct_reach,101345094,False,False,0,P2_noise_risk,manual-corrected stock×reach matrix; reviewed videos override auto labels; unreviewed videos keep auto labels
31,蒙古族呼麦,"Mongolian art of singing, Khoomei",RL,表演艺术(音乐),clean,902,near_invisible,stock_low,khoomei,top_20pct_reach,top_20pct_reach,7.144702,320266425,162,81000000,7050000,77,0.3072,0.2425,reach_high,reach_high,top_20pct_reach,1042441489,top_20pct_reach,555775344,0.4802,medium,0,668,166,138,387,167,141,383,9,3,0,6,7,https://www.tiktok.com/@erklen/video/7544518597226401037,throat singing chicken 2  #throatsinging #throatsing #mongolianthroatsinging #erklen #berkleecollegeofmusic ,,,stock_low__reach_high,低存量高触达：小而精破圈候选,stock_low__reach_high,top_20pct_reach,257066425,False,False,63200000,P1_low_stock_high_reach,manual-corrected stock×reach matrix; reviewed videos override auto labels; unreviewed videos keep auto labels
32,花儿,Hua'er,RL,表演艺术(民歌),clean,166,near_invisible,stock_low,huaer,bottom_10pct_reach,bottom_10pct_reach,3.855139,71167,53,9629,7691,0,0.0002,0.1147,reach_low,reach_low,lower_70_90pct_reach,326138698,lower_70_90pct_reach,8129810,0.9751,high,-1,462,53,33,376,56,35,371,10,0,0,10,5,https://www.tiktok.com/@lin_cen_ling/video/7649013595753172242,歌曲：花儿开花儿落 #歌曲花儿开花儿落 #花儿开花儿落 #神级现场 #Chinesesongs #bestchinesesongs ,,,stock_low__reach_low,低存量低触达：近乎隐形候选,stock_low__reach_low,bottom_10pct_reach,381267,False,False,-310100,P0_manual_false_breakout,manual-corrected stock×reach matrix; reviewed videos override auto labels; unreviewed videos keep auto labels
33,中国朝鲜族农乐舞,Farmers' dance of China's Korean ethnic group,RL,表演艺术(舞蹈),clean,41,near_invisible,stock_low,nongak,lower_70_90pct_reach,lower_70_90pct_reach,5.182991,2671328,85,341000,99520,5,0.0085,0.1252,reach_low,reach_low,lower_70_90pct_reach,314728435,bottom_10pct_reach,7862306,0.975,high,0,679,85,61,535,88,64,529,11,0,0,11,6,https://www.tiktok.com/@baannongakin/video/7623707906407468306,รถไฟโทมัสแบบนั่งขับพร้อมราง 🚂🚦 เด็กสามารถนั่งบังคับได้จริง มีเพลงธีมโทมัสแบบออริจินัล เสียงหวีดรถไฟ และมีไฟกะพริบ สมจริง! #ของเล่นเสริมพัฒนาการ #ของเล่นเด็ก #ของเล่น #รถไฟ #รีวิวของเล่น ,,,stock_low__reach_low,低存量低触达：近乎隐形候选,stock_low__reach_low,lower_70_90pct_reach,6060528,False,False,-3389200,P0_manual_false_breakout,manual-corrected stock×reach matrix; reviewed videos override auto labels; unreviewed videos keep auto labels
34,中国书法,Chinese calligraphy,RL,传统手工艺/视觉艺术,clean,1715067,head,stock_high,calligraphy,top_20pct_reach,top_20pct_reach,7.384358,842210064,402,67300000,11285000,183,0.7423,0.5835,reach_high,reach_high,top_20pct_reach,1134619032,top_20pct_reach,891454848,0.2143,low,0,689,408,68,228,408,68,228,0,0,0,0,0,https://www.tiktok.com/@wk_writer__2/video/7542145372022410504,best handwriting in the world 💕💫😇 #handwriting #trending #calligraphy #viral #foryou ,,,stock_high__reach_high,真·规模化出海候选,stock_high__reach_high,top_20pct_reach,842210064,False,False,0,P3_normal,manual-corrected stock×reach matrix; reviewed videos override auto labels; unreviewed videos keep auto labels
35,中国篆刻,Art of Chinese seal engraving,RL,传统手工艺,clean,2885,long_tail,stock_mid,篆刻,middle_40_70pct_reach,middle_40_70pct_reach,6.356258,56311812,321,19700000,642700,32,0.0589,0.4798,reach_mid,reach_mid,top_20pct_reach,956427162,middle_40_70pct_reach,70102791,0.9267,high,-2,669,343,30,351,347,32,345,13,1,0,12,8,https://www.tiktok.com/@craftheritage/video/7624096912974564621,"Longquan Ge Kiln is one of the Five Great Kilns of the Song Dynasty in China, famous for its distinctive crackle glaze (called ""gold thread and iron wire""). known for elegant shapes, subtle grayish-green or bluish tones,",,,stock_low__reach_low,低存量低触达：近乎隐形候选,stock_low__reach_low,middle_40_70pct_reach,85411812,False,False,-29100000,P0_noise_or_tier_drop,manual-corrected stock×reach matrix; reviewed videos override auto labels; unreviewed videos keep auto labels
36,中国剪纸,Chinese paper-cut,RL,传统手工艺,clean,28432,mid,stock_high,papercutting,high_20_40pct_reach,high_20_40pct_reach,6.888863,205339021,300,36500000,3210000,78,0.2905,0.4823,reach_high,reach_high,high_20_40pct_reach,706737979,top_20pct_reach,399890083,0.4342,medium,0,622,325,180,198,325,180,198,1,0,0,1,0,https://www.tiktok.com/@onlyjayus/video/6943714855299943685,Life Advice with Jayus 🤓🐝 #fyp #lifeadvice #advice #lifehacks #hacks #protip #tips #onlyjayus #bees #papercut #hiccups #gay #onlyjayus,,,stock_high__reach_high,真·规模化出海候选,stock_high__reach_high,high_20_40pct_reach,205339021,False,False,0,P3_normal,manual-corrected stock×reach matrix; reviewed videos override auto labels; unreviewed videos keep auto labels
37,中国传统木结构建筑营造技艺,Chinese traditional architectural craftsmanship for timber-framed structures,RL,传统手工艺/建筑,clean,16173,mid,stock_high,timberframe,middle_40_70pct_reach,middle_40_70pct_reach,6.192428,38819861,301,3200000,770700,55,0.0578,0.3488,reach_mid,reach_mid,high_20_40pct_reach,672167120,middle_40_70pct_reach,107051073,0.8407,high,-1,863,301,87,486,305,88,481,13,0,3,10,7,https://www.tiktok.com/@goldeneaglelogtimber/video/7130212114853039406,"Welcome to the Timber Lake, our hottest trending floor plan! 🔥 Watch the full tour on youtube! Link bio #luxury #timberframe #newhome #homeideas #floorplans #loghouse #cabin #hometour #curbappeal #warmandcozy #woodenhous",,,stock_high__reach_low,高存量低触达：自产自销/虚假繁荣候选,stock_high__reach_low,middle_40_70pct_reach,70719861,False,False,-31900000,P0_manual_false_breakout,manual-corrected stock×reach matrix; reviewed videos override auto labels; unreviewed videos keep auto labels
38,端午节,Dragon Boat festival,RL,节庆民俗,clean,8891,long_tail,stock_mid,端午节,high_20_40pct_reach,high_20_40pct_reach,6.596426,111202009,388,48300000,729770,81,0.3104,0.4899,reach_high,reach_high,lower_70_90pct_reach,358198018,middle_40_70pct_reach,215263996,0.399,medium,2,792,416,187,226,416,187,226,1,0,0,1,0,https://www.tiktok.com/@art6859/video/7378664738378517806,端午安康#dominoeffect #domino #foryou ,,,stock_low__reach_high,低存量高触达：小而精破圈候选,stock_low__reach_low,middle_40_70pct_reach,111202009,True,True,0,P1_low_stock_high_reach,manual-corrected stock×reach matrix; reviewed videos override auto labels; unreviewed videos keep auto labels
39,妈祖信俗,Mazu belief and customs,RL,民俗信仰,clean,13995,mid,stock_high,mazu,middle_40_70pct_reach,middle_40_70pct_reach,6.305812,46836788,216,4100000,1175000,54,0.1637,0.4737,reach_mid,reach_mid,lower_70_90pct_reach,286145813,middle_40_70pct_reach,51153851,0.8212,high,1,456,219,16,225,222,18,220,9,0,0,9,5,https://www.tiktok.com/@sury9201/video/7611006409509063956,#douyin抖音 #Mazu #china ,,,stock_high__reach_low,高存量低触达：自产自销/虚假繁荣候选,stock_high__reach_low,middle_40_70pct_reach,68236788,False,False,-21400000,P0_manual_false_breakout,manual-corrected stock×reach matrix; reviewed videos override auto labels; unreviewed videos keep auto labels
40,中国雕版印刷技艺,China engraved block printing technique,RL,传统手工艺,clean,31993,mid,stock_high,blockprinting,middle_40_70pct_reach,middle_40_70pct_reach,6.515677,93351113,229,24400000,907880,42,0.2568,0.3373,reach_mid,reach_mid,lower_70_90pct_reach,363578958,middle_40_70pct_reach,105402086,0.7101,high,1,679,230,50,415,229,51,415,10,3,1,6,6,https://www.tiktok.com/@explore.china6/video/7322759248818081055,#handcraft #handmade #fyp #learnontiktok #chineseculture ,,,stock_high__reach_low,高存量低触达：自产自销/虚假繁荣候选,stock_high__reach_low,middle_40_70pct_reach,62551113,False,False,30800000,P0_stock_high_reach_low,manual-corrected stock×reach matrix; reviewed videos override auto labels; unreviewed videos keep auto labels
41,昆曲,Kun Qu opera,RL,表演艺术(戏曲),clean,844,near_invisible,stock_low,昆曲,lower_70_90pct_reach,lower_70_90pct_reach,5.448381,6347962,262,680000,122255,15,0.0276,0.4246,reach_low,reach_low,bottom_10pct_reach,230243040,lower_70_90pct_reach,13866840,0.9398,high,1,617,316,56,311,320,58,305,11,0,0,11,6,https://www.tiktok.com/@visitbeijing/video/7617774406609243406,"Kunqu Opera—older than Peking opera, slower, more intricate. The kind of singing where a single phrase can stretch into something unexpected. Our host got up and tried to learn a few lines with the performers. It did not",,,stock_low__reach_low,低存量低触达：近乎隐形候选,stock_low__reach_low,lower_70_90pct_reach,10507062,False,False,-4159100,P0_manual_false_breakout,manual-corrected stock×reach matrix; reviewed videos override auto labels; unreviewed videos keep auto labels
42,古琴艺术,Guqin and its music,RL,表演艺术(音乐),clean,9346,long_tail,stock_mid,guqin,high_20_40pct_reach,high_20_40pct_reach,6.625024,106426001,276,20200000,1400000,107,0.3188,0.5667,reach_high,reach_high,middle_40_70pct_reach,333838031,middle_40_70pct_reach,133835279,0.5991,high,1,487,315,80,165,314,85,161,12,6,0,6,9,https://www.tiktok.com/@mizdramaholic/video/7485060943156694303,The Orchid Pavilion #兰亭序 #Guzheng #古筝 #iguzheng #guzhengmaster ,,,stock_low__reach_high,低存量高触达：小而精破圈候选,stock_low__reach_high,high_20_40pct_reach,124226001,False,False,-17800000,P1_low_stock_high_reach,manual-corrected stock×reach matrix; reviewed videos override auto labels; unreviewed videos keep auto labels
43,新疆维吾尔木卡姆艺术,Uyghur Muqam of Xinjiang,RL,表演艺术(音乐),clean,7108,long_tail,stock_mid,muqam,lower_70_90pct_reach,lower_70_90pct_reach,5.666286,6692744,86,1000000,390100,15,0.034,0.1657,reach_low,reach_low,bottom_10pct_reach,196603306,bottom_10pct_reach,9933070,0.9495,high,1,519,91,57,383,93,59,379,12,1,0,11,4,https://www.tiktok.com/@fangxiaojieaizhuiju/video/7641792081266035988,萬桐書決心獨自留守邊疆，執心潛心研習收錄木卡姆珍貴樂曲文化#我們愛追劇 #劇分享 #陸劇 #芳小姐愛追劇,,,stock_low__reach_low,低存量低触达：近乎隐形候选,stock_low__reach_low,lower_70_90pct_reach,9592744,False,False,-2900000,P0_noise_or_tier_drop,manual-corrected stock×reach matrix; reviewed videos override auto labels; unreviewed videos keep auto labels
44,蒙古族长调民歌,"Urtiin Duu, traditional folk long song",RL,表演艺术(音乐),clean,21,near_invisible,stock_low,urtiinduu,middle_40_70pct_reach,middle_40_70pct_reach,6.575637,153711277,65,81000000,528500,17,0.1495,0.1053,reach_mid,reach_mid,top_20pct_reach,1028040693,middle_40_70pct_reach,154089817,0.8501,high,-2,617,66,16,543,67,18,540,13,3,0,10,9,https://www.tiktok.com/@erklen/video/7544518597226401037,throat singing chicken 2  #throatsinging #throatsing #mongolianthroatsinging #erklen #berkleecollegeofmusic ,,,stock_low__reach_low,低存量低触达：近乎隐形候选,stock_low__reach_low,lower_70_90pct_reach,7254977,False,True,146456300,P0_noise_or_tier_drop,manual-corrected stock×reach matrix; reviewed videos override auto labels; unreviewed videos keep auto labels
